country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_other,abs_reason_travelled,abs_reason_farm,abs_reason_market,abs_reason_school,abs_reason_in_playground,nc_reason_no_felt_need,nc_reason_others,nc_reason_child_sick,nc_reason_vaccines_safety,nc_reason_religious_cultural,nc_reason_no_care_giver_consent,nc_reason_poliofree,nc_reason_too_many_rnd,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child,nc_reason_covid_19,nc_reason_nopvconcern,year,missed_child,r_security,r_childnotborn,care_giver_informed_sia,tot_r,prct_r_childnotborn,prct_r_security
ANG,BENGO,AMBRIZ,ANG-2023-07-01_bOPV,bOPV,Rnd1,21,2023-09-13,2023-09-17,2023-09-18,34,26,60,19,19,38,22,Fail,very poor,0,1,1,0,0,9,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,4.55,0,0,40.91,50,0.37,,,,,,,,,,
ANG,BENGO,AMBRIZ,ANG-2023-07-01_bOPV,bOPV,Rnd2,21,2023-10-23,2023-10-27,2023-10-28,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,AMBRIZ,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd1,21,2025-08-15,2025-08-19,2025-08-20,30,30,60,28,30,58,2,Pass,high,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.03,,,,,,,,,,
ANG,BENGO,AMBRIZ,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd2,21,2025-09-05,2025-09-09,2025-09-10,40,20,60,39,20,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02,,,,,,,,,,
ANG,BENGO,AMBRIZ,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd1,21,2026-03-27,2026-03-31,2026-04-01,30,30,60,28,30,58,2,Pass,high,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0.03,,,,,,,,,,
ANG,BENGO,AMBRIZ,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd2,21,2026-05-22,2026-05-26,2026-05-27,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,AMBRIZ,ANG-2026-08-02_nOPV_NID,nOPV2,Rnd1,21,2026-08-21,2026-08-25,2026-08-26,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,AMBRIZ,ANGOLA-NID-2024-nOPV2,nOPV2,Rnd1,21,2024-05-17,2024-05-21,2024-05-22,24,36,60,24,36,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,AMBRIZ,ANGOLA-NID-2024-nOPV2,nOPV2,Rnd2,12,2024-09-06,2024-09-10,2024-09-11,30,30,60,27,28,55,5,Fail,moderate,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,80,0,0.08,,,,,,,,,,
ANG,BENGO,BARRA DO DANDE,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd1,20,2025-08-15,2025-08-19,2025-08-20,34,16,50,34,16,50,10,Fail,poor,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.2,,,,,,,,,,
ANG,BENGO,BARRA DO DANDE,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd2,21,2025-09-05,2025-09-09,2025-09-10,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,BARRA DO DANDE,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd1,21,2026-03-27,2026-03-31,2026-04-01,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,BARRA DO DANDE,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd2,21,2026-05-22,2026-05-26,2026-05-27,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,BARRA DO DANDE,ANG-2026-08-02_nOPV_NID,nOPV2,Rnd1,21,2026-08-21,2026-08-25,2026-08-26,34,26,60,33,26,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02,,,,,,,,,,
ANG,BENGO,BULA ATUMBA,ANG-2023-07-01_bOPV,bOPV,Rnd1,21,2023-09-13,2023-09-17,2023-09-18,38,22,60,34,22,56,4,Fail,moderate,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.07,,,,,,,,,,
ANG,BENGO,BULA ATUMBA,ANG-2023-07-01_bOPV,bOPV,Rnd2,21,2023-10-21,2023-10-25,2023-10-26,32,28,60,12,12,24,36,Fail,very poor,0,0,0,0,0,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.78,72.22,0.6,,,,,,,,,,
ANG,BENGO,BULA ATUMBA,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd1,21,2025-08-15,2025-08-19,2025-08-20,24,36,60,23,36,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02,,,,,,,,,,
ANG,BENGO,BULA ATUMBA,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd2,21,2025-09-05,2025-09-09,2025-09-10,22,38,60,21,36,57,3,Pass,high,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.05,,,,,,,,,,
ANG,BENGO,BULA ATUMBA,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd1,21,2026-03-27,2026-03-31,2026-04-01,29,31,60,25,29,54,6,Fail,moderate,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.1,,,,,,,,,,
ANG,BENGO,BULA ATUMBA,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd2,21,2026-05-22,2026-05-26,2026-05-27,26,34,60,23,33,56,4,Fail,moderate,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.07,,,,,,,,,,
ANG,BENGO,BULA ATUMBA,ANG-2026-08-02_nOPV_NID,nOPV2,Rnd1,21,2026-08-21,2026-08-25,2026-08-26,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
