country,province,district,response,vaccine.type,roundNumber,round_start_date,month,rnd_distinct
ALGERIA,ILISII,ILISII,ALG-2024-01-01_nOPV,nOPV2,Rnd1,2024-01-28,1,ALG-2024-01-01_nOPV_Rnd1
ALGERIA,OUARGLA,OUARGLA,ALG-2024-01-01_nOPV,nOPV2,Rnd1,2024-01-28,1,ALG-2024-01-01_nOPV_Rnd1
ALGERIA,TINDOUF,TINDOUF,ALG-2024-01-01_nOPV,nOPV2,Rnd1,2024-01-28,1,ALG-2024-01-01_nOPV_Rnd1
ALGERIA,GHARDAIA,GHARDAIA,ALG-2024-01-01_nOPV,nOPV2,Rnd1,2024-01-28,1,ALG-2024-01-01_nOPV_Rnd1
ALGERIA,TAMANGHASSET,TAMANGHASSET,ALG-2024-01-01_nOPV,nOPV2,Rnd1,2024-01-28,1,ALG-2024-01-01_nOPV_Rnd1
ALGERIA,ADRAR,ADRAR,ALG-2024-01-01_nOPV,nOPV2,Rnd1,2024-01-28,1,ALG-2024-01-01_nOPV_Rnd1
ALGERIA,BECHAR,BECHAR,ALG-2024-01-01_nOPV,nOPV2,Rnd1,2024-01-28,1,ALG-2024-01-01_nOPV_Rnd1
ALGERIA,GHARDAIA,GHARDAIA,Algeria Outbreak,nOPV2,Rnd2,2023-01-14,1,Algeria Outbreak_Rnd2
ALGERIA,ADRAR,ADRAR,Algeria Outbreak,nOPV2,Rnd2,2023-01-14,1,Algeria Outbreak_Rnd2
ALGERIA,TINDOUF,TINDOUF,Algeria Outbreak,nOPV2,Rnd2,2023-01-14,1,Algeria Outbreak_Rnd2
ALGERIA,EL OUED,EL OUED,Algeria Outbreak,nOPV2,Rnd2,2023-01-14,1,Algeria Outbreak_Rnd2
ALGERIA,ILISII,ILISII,Algeria Outbreak,nOPV2,Rnd2,2023-01-14,1,Algeria Outbreak_Rnd2
ALGERIA,TAMANGHASSET,TAMANGHASSET,Algeria Outbreak,nOPV2,Rnd2,2023-01-14,1,Algeria Outbreak_Rnd2
ALGERIA,OUARGLA,OUARGLA,Algeria Outbreak,nOPV2,Rnd2,2023-01-14,1,Algeria Outbreak_Rnd2
ALGERIA,BECHAR,BECHAR,Algeria Outbreak,nOPV2,Rnd2,2023-01-14,1,Algeria Outbreak_Rnd2
CAMEROON,EXTREME NORD,HINA,CMR-16DS-01-2023,nOPV2,Rnd0,2023-01-27,1,CMR-16DS-01-2023_Rnd0
CAMEROON,EXTREME NORD,KAR HAY,CMR-16DS-01-2023,nOPV2,Rnd0,2023-01-27,1,CMR-16DS-01-2023_Rnd0
CAMEROON,EXTREME NORD,MOGODE,CMR-16DS-01-2023,nOPV2,Rnd0,2023-01-27,1,CMR-16DS-01-2023_Rnd0
CAMEROON,EXTREME NORD,VELE,CMR-16DS-01-2023,nOPV2,Rnd0,2023-01-27,1,CMR-16DS-01-2023_Rnd0
CAMEROON,EXTREME NORD,ROUA,CMR-16DS-01-2023,nOPV2,Rnd0,2023-01-27,1,CMR-16DS-01-2023_Rnd0
CAMEROON,EXTREME NORD,GUIDIGUIS,CMR-16DS-01-2023,nOPV2,Rnd0,2023-01-27,1,CMR-16DS-01-2023_Rnd0
CAMEROON,EXTREME NORD,MOKOLO,CMR-16DS-01-2023,nOPV2,Rnd0,2023-01-27,1,CMR-16DS-01-2023_Rnd0
CAMEROON,EXTREME NORD,MERI,CMR-16DS-01-2023,nOPV2,Rnd0,2023-01-27,1,CMR-16DS-01-2023_Rnd0
CAMEROON,EXTREME NORD,KOZA,CMR-16DS-01-2023,nOPV2,Rnd0,2023-01-27,1,CMR-16DS-01-2023_Rnd0
CAMEROON,ADAMAOUA,BELEL,CMR-16DS-01-2023,nOPV2,Rnd0,2023-01-27,1,CMR-16DS-01-2023_Rnd0
CAMEROON,EXTREME NORD,MORA,CMR-16DS-01-2023,nOPV2,Rnd0,2023-01-27,1,CMR-16DS-01-2023_Rnd0
CAMEROON,EXTREME NORD,KOLOFATA,CMR-16DS-01-2023,nOPV2,Rnd0,2023-01-27,1,CMR-16DS-01-2023_Rnd0
CAMEROON,EXTREME NORD,YAGOUA,CMR-16DS-01-2023,nOPV2,Rnd0,2023-01-27,1,CMR-16DS-01-2023_Rnd0
CAMEROON,EXTREME NORD,MOZOGO,CMR-16DS-01-2023,nOPV2,Rnd0,2023-01-27,1,CMR-16DS-01-2023_Rnd0
CAMEROON,EXTREME NORD,GUERE,CMR-16DS-01-2023,nOPV2,Rnd0,2023-01-27,1,CMR-16DS-01-2023_Rnd0
CAMEROON,EXTREME NORD,BOURHA,CMR-16DS-01-2023,nOPV2,Rnd0,2023-01-27,1,CMR-16DS-01-2023_Rnd0
CAMEROON,EXTREME NORD,GAZAWA,CMR-16DS-01-2023,nOPV2,Rnd0,2023-01-27,1,CMR-16DS-01-2023_Rnd0
CHAD,N'DJAMENA,10E ARRONDISSEMENT,Chad_2023,nOPV2,Rnd1,2023-01-26,1,Chad_2023_Rnd1
