country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_market,abs_reason_in_playground,abs_reason_other,abs_reason_school,abs_reason_travelled,abs_reason_farm,nc_reason_covid_19,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,nc_reason_vaccines_safety,nc_reason_nopvconcern,nc_reason_child_sick,nc_reason_religious_cultural,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
NAM,ERONGO,OMARURU,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,26,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,32,28,60,28,22,50,10,Fail,poor,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.17
NAM,ERONGO,OMARURU,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,20,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,ERONGO,SWAKOPMUND,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,24,36,60,17,12,29,31,Fail,very poor,10,1,3,0,0,0,17,0,3,0,0,0,0,0,2,2,2,2,2,0,0,32.26,3.23,9.68,0,0,0,54.84,0.52
NAM,ERONGO,SWAKOPMUND,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,14,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,28,32,60,18,25,43,17,Fail,poor,3,2,5,0,0,3,4,0,0,2,1,1,1,0,0,0,3,0,0,0,0,17.65,11.76,29.41,0,0,17.65,23.53,0.28
NAM,ERONGO,USAKOS,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,37,23,60,35,22,57,3,Pass,high,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66.67,33.33,0,0,0,0,0.05
NAM,ERONGO,USAKOS,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,16,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,30,30,60,27,28,55,5,Fail,moderate,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,20,0.08
NAM,ERONGO,WALVIS BAY,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,32,28,60,25,24,49,11,Fail,poor,1,2,3,0,0,1,4,0,0,2,0,0,1,0,0,0,0,1,0,0,0,9.09,18.18,27.27,0,0,9.09,36.36,0.18
NAM,ERONGO,WALVIS BAY,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,33,27,60,31,23,54,6,Fail,moderate,2,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,33.33,0,33.33,0,0,33.33,0,0.1
NAM,HARDAP,ARANOS,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,31,29,60,29,29,58,2,Pass,high,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.03
NAM,HARDAP,ARANOS,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,HARDAP,MARIENTAL,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,29,31,60,29,30,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
NAM,HARDAP,MARIENTAL,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,29,31,60,25,24,49,11,Fail,poor,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,0,0,0,18.18,0,0.18
NAM,HARDAP,REHOBOTH,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,HARDAP,REHOBOTH,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,22,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,30,30,60,28,30,58,2,Pass,high,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0.03
NAM,KAVANGO EAST,ANDARA,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd0,6,2025-12-15T00:00:00Z,2025-12-19,2025-12-20,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
