country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,year,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,missed_child,r_non_compliance,r_house_not_visited,r_childabsent,r_security,r_childnotborn,care_giver_informed_sia,percent_care_giver_informed_sia,total_missed,status,performance,tot_r,other_r,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_childnotborn,prct_r_security,prct_other_r
NIE,ADAMAWA,DEMSA,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,36,24,60,31,22,53,7,0,3,1,0,2,59,98.33,7,Fail,moderate,6,1,0,42.86,14.29,28.57,0,14.29
NIE,ADAMAWA,FUFORE,OBR_name,nOPV2,Rnd5,5,2026-05-04,2026-05-08,2026-05-09,2026,19,31,50,19,29,48,2,0,2,0,0,0,49,98,12,Fail,poor,2,10,0,16.67,0,0,0,83.33
NIE,ADAMAWA,GANYE,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,31,29,60,30,28,58,2,1,0,1,0,0,60,100,2,Pass,high,2,0,50,0,50,0,0,0
NIE,ADAMAWA,GIREI,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,28,32,60,28,32,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,ADAMAWA,GOMBI,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,36,24,60,34,23,57,3,2,1,0,0,0,59,98.33,3,Pass,high,3,0,66.67,33.33,0,0,0,0
NIE,ADAMAWA,GUYUK,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,33,27,60,32,27,59,1,1,0,0,0,0,30,50,1,Pass,high,1,0,100,0,0,0,0,0
NIE,ADAMAWA,HONG,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,33,27,60,33,27,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,ADAMAWA,JADA,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,33,27,60,33,27,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,ADAMAWA,LAMURDE,OBR_name,nOPV2,Rnd5,4,2026-05-04,2026-05-08,2026-05-09,2026,21,19,40,20,18,38,2,0,0,2,0,0,23,57.5,22,Fail,very poor,2,20,0,0,9.09,0,0,90.91
NIE,ADAMAWA,MADAGALI,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,34,26,60,34,25,59,1,0,0,1,0,0,60,100,1,Pass,high,1,0,0,0,100,0,0,0
