country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_travelled,abs_reason_market,abs_reason_other,abs_reason_farm,abs_reason_school,nc_reason_child_sick,nc_reason_no_felt_need,nc_reason_religious_cultural,nc_reason_too_many_rnd,nc_reason_no_care_giver_consent,nc_reason_others,nc_reason_vaccines_safety,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
GHA,AHAFO,ASUNAFO NORTH,GHA-2024-10-01_nOPV,nOPV2,Rnd1,20,2024-10-17T00:00:00Z,2024-10-21,2024-10-22,36,24,60,36,22,58,2,Pass,high,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.03
GHA,AHAFO,ASUNAFO NORTH,GHA-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-11-21T00:00:00Z,2024-11-25,2024-11-26,34,26,60,34,25,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
GHA,AHAFO,ASUNAFO NORTH,nOPV2022,nOPV2,Rnd1,21,2022-07-05T00:00:00Z,2022-07-09,2022-09-09,36,24,60,33,21,54,6,Fail,moderate,0,4,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0,0,0,0,0.1
GHA,AHAFO,ASUNAFO NORTH,nOPV2022,nOPV2,Rnd2,21,2022-10-09T00:00:00Z,2022-10-13,2022-12-10,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,AHAFO,ASUNAFO SOUTH,GHA-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-17T00:00:00Z,2024-10-21,2024-10-22,35,25,60,32,24,56,4,Fail,moderate,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,25,0,0,25,0,0.07
GHA,AHAFO,ASUNAFO SOUTH,GHA-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-11-21T00:00:00Z,2024-11-25,2024-11-26,45,15,60,45,15,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,AHAFO,ASUNAFO SOUTH,nOPV2022,nOPV2,Rnd1,21,2022-07-05T00:00:00Z,2022-07-09,2022-09-09,36,24,60,34,23,57,3,Pass,high,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,66.67,0.05
GHA,AHAFO,ASUNAFO SOUTH,nOPV2022,nOPV2,Rnd2,21,2022-10-09T00:00:00Z,2022-10-13,2022-12-10,35,25,60,34,25,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
GHA,AHAFO,ASUTIFI NORTH,GHA-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-17T00:00:00Z,2024-10-21,2024-10-22,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,AHAFO,ASUTIFI NORTH,GHA-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-11-21T00:00:00Z,2024-11-25,2024-11-26,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,AHAFO,ASUTIFI NORTH,nOPV2022,nOPV2,Rnd1,21,2022-08-05T00:00:00Z,2022-08-09,2022-09-09,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,AHAFO,ASUTIFI NORTH,nOPV2022,nOPV2,Rnd2,21,2022-10-09T00:00:00Z,2022-10-13,2022-12-10,32,28,60,31,28,59,1,Pass,high,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.02
