country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_travelled,abs_reason_other,abs_reason_market,abs_reason_in_playground,abs_reason_school,nc_reason_too_many_rnd,nc_reason_religious_cultural,nc_reason_vaccines_safety,nc_reason_others,nc_reason_no_felt_need,nc_reason_no_care_giver_consent,nc_reason_child_sick,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
ZMB,CENTRAL,CHIBOMBO,WPV1MLW,bOPV,Rnd2,21,2022-03-01T00:00:00Z,2022-03-05,2022-06-05,27,33,60,21,27,48,12,Fail,poor,1,0,2,0,0,9,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,8.33,0,16.67,0,0,75,0,0.2
ZMB,CENTRAL,CHIBOMBO,WPV1MLW,bOPV,Rnd3,21,2022-08-15T00:00:00Z,2022-08-19,2022-08-20,21,39,60,21,39,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZMB,CENTRAL,CHIBOMBO,WPV1MLW,bOPV,Rnd4,21,2022-06-07T00:00:00Z,2022-06-11,2022-08-11,24,36,60,23,33,56,4,Fail,moderate,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25,75,0,0,0,0,0.07
ZMB,CENTRAL,CHIBOMBO,ZAM-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-16T00:00:00Z,2023-02-20,2023-02-21,30,30,60,29,26,55,5,Fail,moderate,2,0,1,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,40,0,20,0,0,40,0,0.08
ZMB,CENTRAL,CHIBOMBO,ZAM-2023-02-01_nOPV,nOPV2,Rnd2,21,2023-04-20T00:00:00Z,2023-04-24,2023-04-25,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZMB,CENTRAL,CHIBOMBO,ZAM-2023-05-01_bOPV,bOPV,Rnd1,21,2023-06-19T00:00:00Z,2023-06-23,2023-06-24,38,22,60,38,22,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZMB,CENTRAL,CHIBOMBO,ZAM-2024-06-01_nOPV,nOPV2,Rnd1,21,2024-07-25T00:00:00Z,2024-07-29,2024-07-30,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZMB,CENTRAL,CHISAMBA,WPV1MLW,bOPV,Rnd2,21,2022-03-01T00:00:00Z,2022-03-05,2022-06-05,34,26,60,33,25,58,2,Pass,high,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0.03
ZMB,CENTRAL,CHISAMBA,WPV1MLW,bOPV,Rnd3,21,2022-08-15T00:00:00Z,2022-08-19,2022-08-20,31,29,60,17,20,37,23,Fail,very poor,6,13,1,0,0,3,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,26.09,56.52,4.35,0,0,13.04,0,0.38
ZMB,CENTRAL,CHISAMBA,WPV1MLW,bOPV,Rnd4,21,2022-06-07T00:00:00Z,2022-06-11,2022-08-11,25,35,60,23,34,57,3,Pass,high,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.05
ZMB,CENTRAL,CHISAMBA,ZAM-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-16T00:00:00Z,2023-02-20,2023-02-21,37,23,60,37,21,58,2,Pass,high,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0.03
ZMB,CENTRAL,CHISAMBA,ZAM-2023-02-01_nOPV,nOPV2,Rnd2,21,2023-04-20T00:00:00Z,2023-04-24,2023-04-25,43,17,60,41,15,56,4,Fail,moderate,0,0,4,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.07
ZMB,CENTRAL,CHISAMBA,ZAM-2023-05-01_bOPV,bOPV,Rnd1,21,2023-06-19T00:00:00Z,2023-06-23,2023-06-24,38,22,60,38,22,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZMB,CENTRAL,CHISAMBA,ZAM-2024-06-01_nOPV,nOPV2,Rnd1,21,2024-07-25T00:00:00Z,2024-07-29,2024-07-30,32,28,60,26,26,52,8,Fail,moderate,0,2,4,0,0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,25,50,0,0,25,0,0.13
ZMB,CENTRAL,CHITAMBO,WPV1MLW,bOPV,Rnd2,6,2022-03-01T00:00:00Z,2022-03-05,2022-06-05,25,35,60,25,34,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
ZMB,CENTRAL,CHITAMBO,WPV1MLW,bOPV,Rnd3,18,2022-08-15T00:00:00Z,2022-08-19,2022-08-20,25,35,60,25,35,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZMB,CENTRAL,CHITAMBO,WPV1MLW,bOPV,Rnd4,21,2022-06-07T00:00:00Z,2022-06-11,2022-08-11,26,34,60,25,33,58,2,Pass,high,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
ZMB,CENTRAL,CHITAMBO,ZAM-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-16T00:00:00Z,2023-02-20,2023-02-21,32,28,60,31,26,57,3,Pass,high,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,33.33,0.05
ZMB,CENTRAL,CHITAMBO,ZAM-2023-02-01_nOPV,nOPV2,Rnd2,21,2023-04-20T00:00:00Z,2023-04-24,2023-04-25,23,37,60,20,30,50,10,Fail,poor,1,3,5,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,10,30,50,0,0,10,0,0.17
ZMB,CENTRAL,CHITAMBO,ZAM-2023-05-01_bOPV,bOPV,Rnd1,21,2023-06-19T00:00:00Z,2023-06-23,2023-06-24,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZMB,CENTRAL,CHITAMBO,ZAM-2024-06-01_nOPV,nOPV2,Rnd1,21,2024-07-25T00:00:00Z,2024-07-29,2024-07-30,28,32,60,28,31,59,1,Pass,high,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
ZMB,CENTRAL,ITEZHI-TEZHI,WPV1MLW,bOPV,Rnd2,24,2022-02-01T00:00:00Z,2022-02-05,2022-05-05,31,29,60,31,26,57,3,Pass,high,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,33.33,0,0.05
