country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_market,abs_reason_travelled,abs_reason_farm,abs_reason_other,abs_reason_school,abs_reason_in_playground,nc_reason_no_care_giver_consent,nc_reason_religious_cultural,nc_reason_vaccines_safety,nc_reason_others,nc_reason_too_many_rnd,nc_reason_no_felt_need,nc_reason_covid_19,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
TOGO,CENTRALE,BLITTA,TOG-2025-11-01_nOPV_sNIDs,nOPV2,Rnd1,21,2026-03-12T00:00:00Z,2026-03-16,2026-03-17,38,22,60,38,22,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOGO,CENTRALE,BLITTA,TOG-2025-11-01_nOPV_sNIDs,nOPV2,Rnd2,21,2026-04-16T00:00:00Z,2026-04-20,2026-04-21,30,30,60,29,30,59,1,Pass,high,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
TOGO,CENTRALE,BLITTA,nOPV2022,nOPV2,Rnd1,21,2022-08-16T00:00:00Z,2022-08-20,2022-08-22,32,28,60,31,26,57,3,Pass,high,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,33.33,0,0.05
TOGO,CENTRALE,BLITTA,nOPV2022,nOPV2,Rnd2,21,2022-10-15T00:00:00Z,2022-10-19,2022-10-20,31,29,60,31,28,59,1,Pass,high,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.02
TOGO,CENTRALE,MO,TOG-2025-11-01_nOPV_sNIDs,nOPV2,Rnd1,21,2026-03-12T00:00:00Z,2026-03-16,2026-03-17,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOGO,CENTRALE,MO,TOG-2025-11-01_nOPV_sNIDs,nOPV2,Rnd2,21,2026-04-16T00:00:00Z,2026-04-20,2026-04-21,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOGO,CENTRALE,MO,nOPV2022,nOPV2,Rnd1,21,2022-08-16T00:00:00Z,2022-08-20,2022-08-21,34,26,60,34,25,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
TOGO,CENTRALE,MO,nOPV2022,nOPV2,Rnd2,21,2022-10-15T00:00:00Z,2022-10-19,2022-10-20,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOGO,CENTRALE,SOTOUBOUA,TOG-2025-11-01_nOPV_sNIDs,nOPV2,Rnd1,21,2026-03-12T00:00:00Z,2026-03-16,2026-03-17,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOGO,CENTRALE,SOTOUBOUA,TOG-2025-11-01_nOPV_sNIDs,nOPV2,Rnd2,21,2026-04-16T00:00:00Z,2026-04-20,2026-04-21,37,23,60,37,23,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
