country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_in_playground,abs_reason_school,abs_reason_travelled,abs_reason_market,abs_reason_other,nc_reason_vaccines_safety,nc_reason_child_sick,nc_reason_no_care_giver_consent,nc_reason_religious_cultural,nc_reason_others,nc_reason_no_felt_need,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
RCA,RS1,BEGOUA,CAR-2023-05-01_nOPV,nOPV2,Rnd1,21,2023-06-02T00:00:00Z,2023-06-06,2023-06-07,32,28,60,28,24,52,8,Fail,moderate,0,1,5,0,0,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,12.5,62.5,0,0,25,0,0.13
RCA,RS1,BEGOUA,CAR-2023-05-01_nOPV,nOPV2,Rnd2,21,2023-09-07T00:00:00Z,2023-09-11,2023-09-12,28,32,60,26,30,56,4,Fail,moderate,0,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,25,50,0,0,25,0,0.07
RCA,RS1,BEGOUA,CAR-2024-02-01_nOPV,nOPV2,Rnd1,21,2024-03-06T00:00:00Z,2024-03-10,2024-03-11,32,28,60,31,28,59,1,Pass,high,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
RCA,RS1,BEGOUA,CAR-2024-02-01_nOPV,nOPV2,Rnd2,21,2024-04-12T00:00:00Z,2024-04-16,2024-04-17,32,28,60,30,27,57,3,Pass,high,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05
RCA,RS1,BEGOUA,CENTRALBLK,nOPV2,Rnd1,17,2022-06-06T00:00:00Z,2022-06-10,2022-06-12,32,28,60,29,26,55,5,Fail,moderate,0,1,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,40,0,0,40,0,0.08
RCA,RS1,BEGOUA,CENTRALBLK,nOPV2,Rnd2,14,2022-08-11T00:00:00Z,2022-08-15,2022-08-17,28,32,60,28,30,58,2,Pass,high,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
RCA,RS1,BEGOUA,RCA-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,21,2025-04-24T00:00:00Z,2025-04-28,2025-04-29,24,36,60,23,35,58,2,Pass,high,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50,50,0,0,0,0,0,0.03
RCA,RS1,BEGOUA,RCA-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,21,2025-06-26T00:00:00Z,2025-06-30,2025-07-01,35,25,60,32,24,56,4,Fail,moderate,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0.07
RCA,RS1,BEGOUA,RCA-2025-10-01_nOPV_NIDs,nOPV2,Rnd1,21,2025-11-28T00:00:00Z,2025-12-02,2025-12-03,34,26,60,32,24,56,4,Fail,moderate,0,1,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,25,75,0,0,0,0,0.07
RCA,RS1,BEGOUA,RCA-2025-10-01_nOPV_NIDs,nOPV2,Rnd2,21,2026-04-10T00:00:00Z,2026-04-14,2026-04-15,28,32,60,27,30,57,3,Pass,high,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,33.33,33.33,33.33,0,0,0,0,0.05
RCA,RS1,BEGOUA,bOPV,bOPV,Rnd1,16,2021-10-30T00:00:00Z,2021-11-03,2021-11-04,29,31,60,25,26,51,9,Fail,poor,0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,88.89,11.11,0,0,0,0,0.15
RCA,RS1,BIMBO,CAR-2023-05-01_nOPV,nOPV2,Rnd1,17,2023-06-02T00:00:00Z,2023-06-06,2023-06-07,27,33,60,27,30,57,3,Pass,high,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.05
RCA,RS1,BIMBO,CAR-2023-05-01_nOPV,nOPV2,Rnd2,16,2023-09-07T00:00:00Z,2023-09-11,2023-09-12,29,31,60,28,31,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
RCA,RS1,BIMBO,CAR-2024-02-01_nOPV,nOPV2,Rnd1,15,2024-03-06T00:00:00Z,2024-03-10,2024-03-11,29,31,60,27,30,57,3,Pass,high,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,33.33,66.67,0,0,0,0,0.05
RCA,RS1,BIMBO,CAR-2024-02-01_nOPV,nOPV2,Rnd2,15,2024-04-12T00:00:00Z,2024-04-16,2024-04-17,31,29,60,28,24,52,8,Fail,moderate,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,12.5,0,0,0,0,0.13
RCA,RS1,BIMBO,CENTRALBLK,nOPV2,Rnd1,12,2022-06-09T00:00:00Z,2022-06-13,2022-06-14,28,32,60,25,31,56,4,Fail,moderate,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.07
RCA,RS1,BIMBO,CENTRALBLK,nOPV2,Rnd2,21,2022-08-09T00:00:00Z,2022-08-13,2022-08-14,27,33,60,25,31,56,4,Fail,moderate,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,25,25,50,0,0,0,0,0.07
RCA,RS1,BIMBO,RCA-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,17,2025-04-24T00:00:00Z,2025-04-28,2025-04-29,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCA,RS1,BIMBO,RCA-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,20,2025-06-26T00:00:00Z,2025-06-30,2025-07-01,28,32,60,28,31,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
RCA,RS1,BIMBO,RCA-2025-10-01_nOPV_NIDs,nOPV2,Rnd1,18,2025-11-28T00:00:00Z,2025-12-02,2025-12-03,19,41,60,19,40,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
RCA,RS1,BIMBO,RCA-2025-10-01_nOPV_NIDs,nOPV2,Rnd2,21,2026-04-10T00:00:00Z,2026-04-14,2026-04-15,33,27,60,31,27,58,2,Pass,high,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.03
RCA,RS1,BIMBO,bOPV,bOPV,Rnd1,21,2021-10-23T00:00:00Z,2021-10-27,2021-10-27,36,24,60,27,16,43,17,Fail,poor,1,12,4,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,5.88,70.59,23.53,0,0,0,0,0.28
RCA,RS1,BODA,CAR-2023-05-01_nOPV,nOPV2,Rnd1,21,2023-06-02T00:00:00Z,2023-06-06,2023-06-07,24,36,60,22,36,58,2,Pass,high,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.03
RCA,RS1,BODA,CAR-2023-05-01_nOPV,nOPV2,Rnd2,21,2023-09-07T00:00:00Z,2023-09-11,2023-09-12,24,36,60,23,35,58,2,Pass,high,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
RCA,RS1,BODA,CAR-2024-02-01_nOPV,nOPV2,Rnd1,21,2024-03-06T00:00:00Z,2024-03-10,2024-03-11,29,31,60,29,30,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
RCA,RS1,BODA,CAR-2024-02-01_nOPV,nOPV2,Rnd2,21,2024-04-12T00:00:00Z,2024-04-16,2024-04-17,27,33,60,24,31,55,5,Fail,moderate,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,60,0,0.08
RCA,RS1,BODA,CENTRALBLK,nOPV2,Rnd2,21,2022-08-19T00:00:00Z,2022-08-23,2022-08-27,30,30,60,28,30,58,2,Pass,high,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0.03
RCA,RS1,BODA,RCA-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,21,2025-04-24T00:00:00Z,2025-04-28,2025-04-29,24,36,60,23,31,54,6,Fail,moderate,0,0,3,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0.1
RCA,RS1,BODA,RCA-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,21,2025-06-26T00:00:00Z,2025-06-30,2025-07-01,33,27,60,33,25,58,2,Pass,high,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,50,0,0,0,0,0,0.03
RCA,RS1,BODA,RCA-2025-10-01_nOPV_NIDs,nOPV2,Rnd1,19,2025-11-28T00:00:00Z,2025-12-02,2025-12-03,30,30,60,26,25,51,9,Fail,poor,3,2,4,0,0,0,0,0,2,0,0,2,0,0,0,3,0,0,0,0,33.33,22.22,44.44,0,0,0,0,0.15
RCA,RS1,BODA,RCA-2025-10-01_nOPV_NIDs,nOPV2,Rnd2,42,2026-04-10T00:00:00Z,2026-04-14,2026-04-15,57,63,120,55,63,118,2,Pass,high,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
RCA,RS1,BODA,bOPV,bOPV,Rnd1,21,2021-10-25T00:00:00Z,2021-10-29,2021-11-03,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCA,RS1,BOSSEMBELE,CAR-2023-05-01_nOPV,nOPV2,Rnd1,21,2023-06-02T00:00:00Z,2023-06-06,2023-06-07,32,28,60,31,27,58,2,Pass,high,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
RCA,RS1,BOSSEMBELE,CAR-2023-05-01_nOPV,nOPV2,Rnd2,21,2023-09-07T00:00:00Z,2023-09-11,2023-09-12,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCA,RS1,BOSSEMBELE,CAR-2024-02-01_nOPV,nOPV2,Rnd1,21,2024-03-06T00:00:00Z,2024-03-10,2024-03-11,31,29,60,30,26,56,4,Fail,moderate,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.07
RCA,RS1,BOSSEMBELE,CAR-2024-02-01_nOPV,nOPV2,Rnd2,21,2024-04-12T00:00:00Z,2024-04-16,2024-04-17,33,27,60,30,25,55,5,Fail,moderate,0,2,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,40,60,0,0,0,0,0.08
RCA,RS1,BOSSEMBELE,CAR-2024-sNIDs-11_nOPV,nOPV2,Rnd1,6,2024-12-12T00:00:00Z,2024-12-16,2024-12-17,5,5,10,5,5,10,50,Fail,very poor,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5
RCA,RS1,BOSSEMBELE,CENTRALBLK,nOPV2,Rnd2,19,2022-08-16T00:00:00Z,2022-08-20,2022-08-21,36,24,60,34,24,58,2,Pass,high,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
RCA,RS1,BOSSEMBELE,RCA-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,20,2025-04-24T00:00:00Z,2025-04-28,2025-04-29,26,34,60,22,28,50,10,Fail,poor,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0,0.17
RCA,RS1,BOSSEMBELE,RCA-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,15,2025-06-26T00:00:00Z,2025-06-30,2025-07-01,24,26,50,22,26,48,12,Fail,poor,0,1,1,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,83.33,0.24
RCA,RS1,BOSSEMBELE,RCA-2025-10-01_nOPV_NIDs,nOPV2,Rnd1,21,2025-11-28T00:00:00Z,2025-12-02,2025-12-03,31,29,60,27,27,54,6,Fail,moderate,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,33.33,33.33,33.33,0,0,0,0,0.1
RCA,RS1,BOSSEMBELE,RCA-2025-10-01_nOPV_NIDs,nOPV2,Rnd2,21,2026-04-10T00:00:00Z,2026-04-14,2026-04-15,31,29,60,29,28,57,3,Pass,high,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05
RCA,RS1,BOSSEMBELE,bOPV,bOPV,Rnd1,21,2021-10-29T00:00:00Z,2021-11-02,2021-11-06,29,31,60,27,31,58,2,Pass,high,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.03
RCA,RS1,MBAIKI,CAR-2023-05-01_nOPV,nOPV2,Rnd1,21,2023-06-02T00:00:00Z,2023-06-06,2023-06-07,20,40,60,20,38,58,2,Pass,high,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.03
RCA,RS1,MBAIKI,CAR-2023-05-01_nOPV,nOPV2,Rnd2,21,2023-09-07T00:00:00Z,2023-09-11,2023-09-12,25,35,60,24,33,57,3,Pass,high,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,33.33,66.67,0,0,0,0,0.05
RCA,RS1,MBAIKI,CAR-2024-02-01_nOPV,nOPV2,Rnd1,21,2024-03-06T00:00:00Z,2024-03-10,2024-03-11,30,30,60,25,26,51,9,Fail,poor,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.15
RCA,RS1,MBAIKI,CAR-2024-02-01_nOPV,nOPV2,Rnd2,21,2024-04-12T00:00:00Z,2024-04-16,2024-04-17,32,28,60,32,27,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
RCA,RS1,MBAIKI,CENTRALBLK,nOPV2,Rnd1,21,2022-06-05T00:00:00Z,2022-06-09,2022-06-11,19,41,60,18,40,58,2,Pass,high,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0.03
RCA,RS1,MBAIKI,CENTRALBLK,nOPV2,Rnd2,21,2022-08-15T00:00:00Z,2022-08-19,2022-08-22,32,28,60,32,27,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
RCA,RS1,MBAIKI,RCA-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,20,2025-04-24T00:00:00Z,2025-04-28,2025-04-29,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCA,RS1,MBAIKI,RCA-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,21,2025-06-26T00:00:00Z,2025-06-30,2025-07-01,23,37,60,19,34,53,7,Fail,moderate,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,85.71,0,0.12
RCA,RS1,MBAIKI,RCA-2025-10-01_nOPV_NIDs,nOPV2,Rnd1,21,2025-11-28T00:00:00Z,2025-12-02,2025-12-03,28,32,60,25,32,57,3,Pass,high,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,66.67,0,33.33,0,0,0,0,0.05
RCA,RS1,MBAIKI,RCA-2025-10-01_nOPV_NIDs,nOPV2,Rnd2,21,2026-04-10T00:00:00Z,2026-04-14,2026-04-15,31,29,60,30,25,55,5,Fail,moderate,0,0,5,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.08
