country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_market,abs_reason_travelled,abs_reason_school,abs_reason_other,abs_reason_farm,abs_reason_in_playground,nc_reason_too_many_rnd,nc_reason_no_felt_need,nc_reason_no_care_giver_consent,nc_reason_child_sick,nc_reason_religious_cultural,nc_reason_others,nc_reason_vaccines_safety,nc_reason_covid_19,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
CIV,ABIDJAN 1,ABOBO EST,CIV-2023-09-01_nOPV,nOPV2,Rnd1,21,2023-09-23T00:00:00Z,2023-09-27,2023-09-29,32,28,60,32,25,57,3,Pass,high,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,66.67,0,0,0,0,0.05
CIV,ABIDJAN 1,ABOBO EST,CIV-2023-09-01_nOPV,nOPV2,Rnd2,21,2023-01-07T00:00:00Z,2023-01-11,2023-02-11,32,28,60,31,26,57,3,Pass,high,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,33.33,33.33,33.33,0,0,0,0,0.05
CIV,ABIDJAN 1,ABOBO EST,CIV-2024-04-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,30,30,60,30,27,57,3,Pass,high,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05
CIV,ABIDJAN 1,ABOBO EST,CIV-2024-04-01_nOPV,nOPV2,Rnd2,21,2024-09-06T00:00:00Z,2024-09-10,2024-09-11,34,26,60,31,25,56,4,Fail,moderate,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.07
CIV,ABIDJAN 1,ABOBO EST,CIV-2025-02-01_nOPV_NIDs,nOPV2,Rnd1,21,2025-02-28T00:00:00Z,2025-03-04,2025-03-05,31,29,60,31,27,58,2,Pass,high,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.03
CIV,ABIDJAN 1,ABOBO EST,CIV-2025-02-01_nOPV_NIDs,nOPV2,Rnd2,21,2025-05-30T00:00:00Z,2025-06-03,2025-06-04,31,29,60,30,28,58,2,Pass,high,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0.03
CIV,ABIDJAN 1,ABOBO OUEST,CIV-2023-09-01_nOPV,nOPV2,Rnd1,21,2023-09-25T00:00:00Z,2023-09-29,2023-09-29,30,30,60,26,29,55,5,Fail,moderate,1,0,2,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,20,0,40,40,0,0,0,0.08
CIV,ABIDJAN 1,ABOBO OUEST,CIV-2023-09-01_nOPV,nOPV2,Rnd2,21,2023-02-07T00:00:00Z,2023-02-11,2023-03-11,34,26,60,32,25,57,3,Pass,high,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.33,66.67,0,0,0,0,0.05
CIV,ABIDJAN 1,ABOBO OUEST,CIV-2024-04-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,27,33,60,25,25,50,10,Fail,poor,1,3,4,2,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,10,30,40,20,0,0,0,0.17
CIV,ABIDJAN 1,ABOBO OUEST,CIV-2024-04-01_nOPV,nOPV2,Rnd2,21,2024-09-06T00:00:00Z,2024-09-10,2024-09-11,28,32,60,28,30,58,2,Pass,high,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.03
CIV,ABIDJAN 1,ABOBO OUEST,CIV-2025-02-01_nOPV_NIDs,nOPV2,Rnd1,21,2025-02-28T00:00:00Z,2025-03-04,2025-03-05,35,25,60,33,24,57,3,Pass,high,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,33.33,0,33.33,33.33,0,0,0,0.05
CIV,ABIDJAN 1,ABOBO OUEST,CIV-2025-02-01_nOPV_NIDs,nOPV2,Rnd2,21,2025-05-30T00:00:00Z,2025-06-03,2025-06-04,31,29,60,29,27,56,4,Fail,moderate,0,1,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,75,0,0,0,0,0.07
CIV,ABIDJAN 1,ANYAMA,CIV-2023-09-01_nOPV,nOPV2,Rnd1,21,2023-09-23T00:00:00Z,2023-09-27,2023-09-29,31,29,60,29,26,55,5,Fail,moderate,0,1,3,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,20,60,0,0,0,20,0.08
CIV,ABIDJAN 1,ANYAMA,CIV-2023-09-01_nOPV,nOPV2,Rnd2,21,2023-01-07T00:00:00Z,2023-01-11,2023-03-11,26,34,60,26,33,59,1,Pass,high,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
CIV,ABIDJAN 1,ANYAMA,CIV-2024-04-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,32,28,60,31,28,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
CIV,ABIDJAN 1,ANYAMA,CIV-2024-04-01_nOPV,nOPV2,Rnd2,21,2024-09-06T00:00:00Z,2024-09-10,2024-09-11,30,30,60,28,30,58,2,Pass,high,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.03
CIV,ABIDJAN 1,ANYAMA,CIV-2025-02-01_nOPV_NIDs,nOPV2,Rnd1,21,2025-02-28T00:00:00Z,2025-03-04,2025-03-05,27,33,60,26,29,55,5,Fail,moderate,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.08
CIV,ABIDJAN 1,ANYAMA,CIV-2025-02-01_nOPV_NIDs,nOPV2,Rnd2,21,2025-05-30T00:00:00Z,2025-06-03,2025-06-04,25,35,60,23,34,57,3,Pass,high,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33.33,66.67,0,0,0,0,0,0.05
CIV,ABIDJAN 1,YOPOUGON EST,CIV-2023-09-01_nOPV,nOPV2,Rnd1,21,2023-09-23T00:00:00Z,2023-09-27,2023-09-29,30,30,60,28,30,58,2,Pass,high,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
CIV,ABIDJAN 1,YOPOUGON EST,CIV-2023-09-01_nOPV,nOPV2,Rnd2,21,2023-02-07T00:00:00Z,2023-02-11,2023-03-11,29,31,60,28,31,59,1,Pass,high,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
CIV,ABIDJAN 1,YOPOUGON OUEST-SONGON,CIV-2023-09-01_nOPV,nOPV2,Rnd1,21,2023-09-23T00:00:00Z,2023-09-27,2023-09-29,37,23,60,32,21,53,7,Fail,moderate,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85.71,14.29,0,0,0,0,0.12
CIV,ABIDJAN 1,YOPOUGON OUEST-SONGON,CIV-2023-09-01_nOPV,nOPV2,Rnd2,21,2023-03-07T00:00:00Z,2023-03-11,2023-04-11,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIV,ABIDJAN 1,YOPOUGON-EST,CIV-2024-04-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,31,29,60,28,28,56,4,Fail,moderate,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75,25,0,0,0,0.07
