country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_other,abs_reason_farm,abs_reason_school,abs_reason_market,abs_reason_travelled,abs_reason_in_playground,nc_reason_child_sick,nc_reason_no_care_giver_consent,nc_reason_religious_cultural,nc_reason_too_many_rnd,nc_reason_others,nc_reason_no_felt_need,nc_reason_vaccines_safety,nc_reason_covid_19,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
RDC,BAS UELE,AKETI,DRC-2023-03-01_bOPV,bOPV,Rnd1,21,2023-03-16T00:00:00Z,2023-03-20,2023-03-21,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDC,BAS UELE,AKETI,DRC-2023-05-01_nOPV,nOPV2,Rnd1,21,2023-06-01T00:00:00Z,2023-06-05,2023-06-06,29,31,60,27,31,58,2,Pass,high,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0.03
RDC,BAS UELE,AKETI,DRC-2024-10-01_B_nOPV,nOPV2,Rnd1,23,2024-10-10T00:00:00Z,2024-10-14,2024-10-15,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDC,BAS UELE,AKETI,DRC-2024-10-01_B_nOPV,nOPV2,Rnd2,21,2024-12-05T00:00:00Z,2024-12-09,2024-12-10,31,29,60,30,28,58,2,Pass,high,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
RDC,BAS UELE,AKETI,DRC-2025-06-01_nOPV_NID,nOPV2,Rnd1,21,2025-08-28T00:00:00Z,2025-09-01,2025-09-02,34,26,60,33,26,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
RDC,BAS UELE,AKETI,DRC-2025-11-01_n-bOPV_NID,bOPV,Rnd1,17,2025-11-27T00:00:00Z,2025-12-01,2025-12-02,36,24,60,36,23,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
RDC,BAS UELE,AKETI,DRC-NID-03-2024-B_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,28,32,60,27,31,58,2,Pass,high,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
RDC,BAS UELE,AKETI,DRC-NID-04-2024-bOPV,bOPV,Rnd1,17,2024-06-13T00:00:00Z,2024-06-17,2024-06-18,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDC,BAS UELE,ANGO,DRC-2023-03-01_bOPV,bOPV,Rnd1,15,2023-03-16T00:00:00Z,2023-03-20,2023-03-21,27,23,50,25,22,47,13,Fail,poor,0,0,3,0,0,0,10,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23.08,0,0,0,76.92,0.26
RDC,BAS UELE,ANGO,DRC-2024-10-01_B_nOPV,nOPV2,Rnd1,21,2024-10-10T00:00:00Z,2024-10-14,2024-10-15,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDC,BAS UELE,ANGO,DRC-2024-10-01_B_nOPV,nOPV2,Rnd2,21,2024-12-05T00:00:00Z,2024-12-09,2024-12-10,29,31,60,29,30,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
RDC,BAS UELE,ANGO,DRC-2025-06-01_nOPV_NID,nOPV2,Rnd1,13,2025-08-28T00:00:00Z,2025-09-01,2025-09-02,29,31,60,28,29,57,3,Pass,high,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05
RDC,BAS UELE,ANGO,DRC-2025-11-01_n-bOPV_NID,bOPV,Rnd1,5,2025-11-27T00:00:00Z,2025-12-01,2025-12-02,17,13,30,16,12,28,32,Fail,very poor,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,96.88,1.07
RDC,BAS UELE,ANGO,DRC-NID-04-2024-bOPV,bOPV,Rnd1,12,2024-06-13T00:00:00Z,2024-06-17,2024-06-18,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDC,BAS UELE,ANGO,DRC-NID-07-2023-bOPV,bOPV,Rnd2,9,2023-09-22T00:00:00Z,2023-09-26,2023-09-27,29,31,60,28,30,58,2,Pass,high,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0.03
RDC,BAS UELE,BILI,DRC-2023-03-01_bOPV,bOPV,Rnd1,18,2023-03-16T00:00:00Z,2023-03-20,2023-03-21,24,26,50,22,26,48,12,Fail,poor,0,0,2,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,83.33,0.24
RDC,BAS UELE,BILI,DRC-2023-05-01_nOPV,nOPV2,Rnd1,21,2023-06-01T00:00:00Z,2023-06-05,2023-06-06,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDC,BAS UELE,BILI,DRC-2023-11-02_nOPV,nOPV2,Rnd1,20,2023-11-16T00:00:00Z,2023-11-20,2023-11-21,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDC,BAS UELE,BILI,DRC-2024-10-01_B_nOPV,nOPV2,Rnd1,21,2024-10-10T00:00:00Z,2024-10-14,2024-10-15,36,24,60,35,24,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
RDC,BAS UELE,BILI,DRC-2024-10-01_B_nOPV,nOPV2,Rnd2,21,2024-12-05T00:00:00Z,2024-12-09,2024-12-10,30,30,60,30,29,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
RDC,BAS UELE,BILI,DRC-2025-06-01_nOPV_NID,nOPV2,Rnd1,20,2025-08-28T00:00:00Z,2025-09-01,2025-09-02,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDC,BAS UELE,BILI,DRC-2025-11-01_n-bOPV_NID,bOPV,Rnd1,12,2025-11-27T00:00:00Z,2025-12-01,2025-12-02,25,25,50,25,25,50,10,Fail,poor,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.2
RDC,BAS UELE,BILI,DRC-NID-07-2023-bOPV,bOPV,Rnd1,21,2023-07-27T00:00:00Z,2023-07-31,2023-08-01,31,29,60,30,29,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
RDC,BAS UELE,BILI,DRC-NID-07-2023-bOPV,bOPV,Rnd2,18,2023-09-22T00:00:00Z,2023-09-26,2023-09-27,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDC,BAS UELE,BONDO,DRC-2023-03-01_bOPV,bOPV,Rnd1,9,2023-03-16T00:00:00Z,2023-03-20,2023-03-21,22,28,50,22,27,49,11,Fail,poor,0,0,1,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,90.91,0.22
RDC,BAS UELE,BONDO,DRC-2023-05-01_nOPV,nOPV2,Rnd1,7,2023-06-01T00:00:00Z,2023-06-05,2023-06-06,30,30,60,28,30,58,2,Pass,high,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
RDC,BAS UELE,BONDO,DRC-2024-10-01_B_nOPV,nOPV2,Rnd1,9,2024-10-10T00:00:00Z,2024-10-14,2024-10-15,24,36,60,24,36,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDC,BAS UELE,BONDO,DRC-2024-10-01_B_nOPV,nOPV2,Rnd2,7,2024-12-05T00:00:00Z,2024-12-09,2024-12-10,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDC,BAS UELE,BONDO,DRC-2025-06-01_nOPV_NID,nOPV2,Rnd1,21,2025-08-28T00:00:00Z,2025-09-01,2025-09-02,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
