country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_travelled,abs_reason_in_playground,abs_reason_other,abs_reason_market,abs_reason_school,nc_reason_others,nc_reason_no_felt_need,nc_reason_vaccines_safety,nc_reason_no_care_giver_consent,nc_reason_child_sick,nc_reason_religious_cultural,nc_reason_too_many_rnd,nc_reason_covid_19,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
COG,BOUENZA,LOUDIMA,CNG-2023-05-bOPV,bOPV,Rnd1,21,2023-06-09T00:00:00Z,2023-06-13,2023-06-14,25,35,60,23,31,54,6,Fail,moderate,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0.1
COG,BOUENZA,LOUDIMA,CNG-2023-05-bOPV,bOPV,Rnd2,21,2023-08-25T00:00:00Z,2023-08-29,2023-08-30,30,30,60,30,29,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
COG,BOUENZA,LOUDIMA,CNG-2023-10-nOPV,nOPV2,Rnd1,21,2023-12-11T00:00:00Z,2023-12-15,2023-12-17,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG,BOUENZA,LOUDIMA,CNG-2023-10-nOPV,nOPV2,Rnd2,21,2024-03-31T00:00:00Z,2024-04-04,2024-04-05,31,29,60,30,29,59,1,Pass,high,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0.02
COG,BOUENZA,LOUDIMA,CNG-2024-08-BOPV,bOPV,Rnd1,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG,BOUENZA,LOUDIMA,nVPO,nOPV2,Rnd1,11,2021-05-28T00:00:00Z,2021-06-01,2021-06-04,28,32,60,27,32,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
COG,BOUENZA,LOUDIMA,nVPO,nOPV2,Rnd2,12,2021-08-21T00:00:00Z,2021-08-25,2021-08-26,36,24,60,34,22,56,4,Fail,moderate,1,0,2,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,25,0,50,0,0,0,25,0.07
COG,BOUENZA,LOUTÉTÉ,CNG-2023-05-bOPV,bOPV,Rnd1,18,2023-06-09T00:00:00Z,2023-06-13,2023-06-14,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG,BOUENZA,LOUTÉTÉ,CNG-2023-05-bOPV,bOPV,Rnd2,21,2023-08-25T00:00:00Z,2023-08-29,2023-08-30,30,30,60,27,30,57,3,Pass,high,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05
COG,BOUENZA,LOUTÉTÉ,CNG-2023-10-nOPV,nOPV2,Rnd1,21,2023-12-11T00:00:00Z,2023-12-15,2023-12-17,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
