country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_in_playground,abs_reason_other,abs_reason_school,abs_reason_travelled,abs_reason_farm,abs_reason_market,nc_reason_religious_cultural,nc_reason_child_sick,nc_reason_vaccines_safety,nc_reason_others,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
NIG,AGADEZ,ADERBISSANAT,CENBLOCK-nOPV,nOPV2,Rnd1,21,2022-06-06T00:00:00Z,2022-06-10,2022-06-11,29,31,60,28,30,58,2,Pass,high,0,1,1,0,0,0,0,96.67,1,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.03
NIG,AGADEZ,ADERBISSANAT,CENBLOCK-nOPV,nOPV2,Rnd2,21,2022-07-02T00:00:00Z,2022-07-06,2022-07-06,31,29,60,31,27,58,2,Pass,high,0,0,0,0,0,2,0,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
NIG,AGADEZ,ADERBISSANAT,NIG-2023-05-01_nOPV,nOPV2,Rnd2,21,2023-06-19T00:00:00Z,2023-06-23,2023-06-24,40,20,60,37,20,57,3,Pass,high,0,0,0,2,0,1,0,58.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,33.33,0,0.05
NIG,AGADEZ,ADERBISSANAT,NIG-2024-06-01_nOPV,nOPV2,Rnd1,21,2024-07-12T00:00:00Z,2024-07-16,2024-07-17,22,38,60,22,38,60,0,Pass,high,0,0,0,0,0,0,0,83.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,AGADEZ,ADERBISSANAT,NIG-2024-06-01_nOPV,nOPV2,Rnd2,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,36,24,60,36,24,60,0,Pass,high,0,0,0,0,0,0,0,58.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,AGADEZ,ADERBISSANAT,NIG-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-25T00:00:00Z,2024-10-29,2024-10-30,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,AGADEZ,ADERBISSANAT,NIG-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-12-02T00:00:00Z,2024-12-06,2024-12-07,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,93.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,AGADEZ,ADERBISSINAT,NIG-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,21,2025-05-04T00:00:00Z,2025-05-08,2025-05-09,43,17,60,42,15,57,3,Pass,high,1,0,0,0,0,2,0,96.67,0,0,0,0,0,0,1,0,0,0,0,0,33.33,0,0,0,0,66.67,0,0.05
NIG,AGADEZ,ADERBISSINAT,NIG-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,21,2025-06-13T00:00:00Z,2025-06-17,2025-06-18,31,29,60,27,25,52,8,Fail,moderate,0,0,0,0,0,8,0,93.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.13
NIG,AGADEZ,AGADEZ,CENBLOCK-nOPV,nOPV2,Rnd1,21,2022-06-05T00:00:00Z,2022-06-09,2022-06-09,32,28,60,29,27,56,4,Fail,moderate,0,0,2,0,1,0,1,81.67,0,1,1,0,0,0,0,0,0,0,0,0,0,0,50,0,25,0,25,0.07
NIG,AGADEZ,AGADEZ,CENBLOCK-nOPV,nOPV2,Rnd2,21,2022-07-02T00:00:00Z,2022-07-06,2022-07-06,32,28,60,31,27,58,2,Pass,high,0,0,1,0,1,0,0,66.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0.03
NIG,AGADEZ,AGADEZ,NIG-2023-05-01_nOPV,nOPV2,Rnd1,21,2023-05-26T00:00:00Z,2023-05-30,2023-05-31,34,26,60,34,24,58,2,Pass,high,0,0,1,0,0,1,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0.03
NIG,AGADEZ,AGADEZ,NIG-2023-05-01_nOPV,nOPV2,Rnd2,21,2023-06-19T00:00:00Z,2023-06-23,2023-06-24,25,35,60,23,31,54,6,Fail,moderate,0,4,0,0,0,1,1,88.33,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,16.67,16.67,0.1
NIG,AGADEZ,AGADEZ,NIG-2023-11-01_nOPV,nOPV2,Rnd1,21,2023-12-05T00:00:00Z,2023-12-09,2023-12-10,33,27,60,31,26,57,3,Pass,high,0,1,2,0,0,0,0,53.33,0,1,0,1,0,0,0,0,0,0,0,0,0,33.33,66.67,0,0,0,0,0.05
NIG,AGADEZ,AGADEZ,NIG-2023-11-01_nOPV,nOPV2,Rnd2,21,2024-01-05T00:00:00Z,2024-01-09,2024-01-10,31,29,60,29,29,58,2,Pass,high,0,0,2,0,0,0,0,85,0,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
NIG,AGADEZ,AGADEZ,NIG-2024-06-01_nOPV,nOPV2,Rnd1,21,2024-07-12T00:00:00Z,2024-07-16,2024-07-17,44,16,60,44,15,59,1,Pass,high,0,0,1,0,0,0,0,43.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
NIG,AGADEZ,AGADEZ,NIG-2024-06-01_nOPV,nOPV2,Rnd2,16,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,41,19,60,41,19,60,0,Pass,high,0,0,0,0,0,0,0,31.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
