country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_school,abs_reason_market,abs_reason_other,abs_reason_in_playground,abs_reason_travelled,nc_reason_others,nc_reason_no_felt_need,nc_reason_religious_cultural,nc_reason_no_care_giver_consent,nc_reason_child_sick,nc_reason_too_many_rnd,nc_reason_vaccines_safety,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
SSUD,ABYEI ADMINISTRATIVE AREA,ABYEI,SSD-2024-02-01_nOPV2,nOPV2,Rnd1,21,2024-02-27T00:00:00Z,2024-03-02,2024-03-03,31,29,60,31,27,58,2,Pass,high,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0.03
SSUD,ABYEI ADMINISTRATIVE AREA,ABYEI,SSD-2024-02-01_nOPV2,nOPV2,Rnd2,21,2024-04-16T00:00:00Z,2024-04-20,2024-04-21,28,32,60,27,31,58,2,Pass,high,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0.03
SSUD,CENTRAL EQUATORIA,JUBA,RSS-2025-08-01_nOPV-sNID,nOPV2,Rnd1,21,2025-09-23T00:00:00Z,2025-09-27,2025-09-28,30,30,60,27,28,55,5,Fail,moderate,0,1,3,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,20,60,0,0,20,0,0.08
SSUD,CENTRAL EQUATORIA,JUBA,RSS-2025-08-01_nOPV-sNID,nOPV2,Rnd2,21,2025-11-04T00:00:00Z,2025-11-08,2025-11-09,37,23,60,37,22,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
SSUD,CENTRAL EQUATORIA,JUBA,RSSmOPV10C2021,nOPV2,Rnd1,21,2021-02-22T00:00:00Z,2021-02-26,2021-02-28,26,34,60,23,31,54,6,Fail,moderate,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.1
SSUD,CENTRAL EQUATORIA,JUBA,RSSmOPV10C2021,nOPV2,Rnd2,17,2021-05-02T00:00:00Z,2021-05-06,2021-07-06,29,31,60,28,27,55,5,Fail,moderate,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,20,0,0,20,0,0.08
SSUD,CENTRAL EQUATORIA,JUBA,SSD-2024-02-01_nOPV2,nOPV2,Rnd1,21,2024-02-27T00:00:00Z,2024-03-02,2024-03-03,24,36,60,21,25,46,14,Fail,poor,0,5,3,0,0,5,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,35.71,21.43,0,0,35.71,7.14,0.23
SSUD,CENTRAL EQUATORIA,JUBA,SSD-2024-02-01_nOPV2,nOPV2,Rnd2,21,2024-04-16T00:00:00Z,2024-04-20,2024-04-21,30,30,60,26,27,53,7,Fail,moderate,0,3,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,42.86,28.57,0,0,28.57,0,0.12
SSUD,CENTRAL EQUATORIA,JUBA,SSD-2024-10-01_nOPV2,nOPV2,Rnd1,21,2024-11-11T00:00:00Z,2024-11-15,2024-11-16,27,33,60,26,31,57,3,Pass,high,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,33.33,66.67,0,0,0,0,0.05
SSUD,CENTRAL EQUATORIA,JUBA,SSD-2024-10-01_nOPV2,nOPV2,Rnd2,21,2025-02-04T00:00:00Z,2025-02-08,2025-02-09,32,28,60,29,26,55,5,Fail,moderate,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0.08
