country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_travelled,abs_reason_farm,abs_reason_school,abs_reason_market,abs_reason_in_playground,abs_reason_other,nc_reason_others,nc_reason_no_care_giver_consent,nc_reason_covid_19,nc_reason_child_sick,nc_reason_vaccines_safety,nc_reason_no_felt_need,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
LIB,BOMI,DOWEIN,LBR-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,BOMI,DOWEIN,LBR-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,BOMI,DOWEIN,LBR-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,BOMI,DOWEIN,Liberia,nOPV2,Rnd1,5,2021-04-05T00:00:00Z,2021-04-09,2021-04-09,4,6,10,3,6,9,51,Fail,very poor,0,0,0,0,0,0,51,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5.1
LIB,BOMI,KLAY,LBR-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,BOMI,KLAY,LBR-2024-05-01_nOPV,nOPV2,Rnd2,20,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,BOMI,KLAY,LBR-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,24,36,60,24,36,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,BOMI,KLAY,Liberia,nOPV2,Rnd2,11,2021-05-29T00:00:00Z,2021-06-02,2021-06-04,31,29,60,30,28,58,2,Pass,high,0,0,0,0,0,1,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0.03
LIB,BOMI,SENJEH,LBR-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,BOMI,SENJEH,LBR-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,25,35,60,25,35,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,BOMI,SENJEH,LBR-2024-05-01_nOPV,nOPV2,Rnd3,20,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,BOMI,SUEHN MECCA,LBR-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,39,21,60,39,21,60,0,Pass,high,0,0,0,0,0,0,0,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,BOMI,SUEHN MECCA,LBR-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,46,14,60,46,14,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,BOMI,SUEHN MECCA,LBR-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
