country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_in_playground,abs_reason_travelled,abs_reason_farm,abs_reason_school,abs_reason_other,abs_reason_market,nc_reason_covid_19,nc_reason_child_sick,nc_reason_too_many_rnd,nc_reason_nopvconcern,nc_reason_vaccines_safety,nc_reason_no_felt_need,nc_reason_no_care_giver_consent,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
SIL,EASTERN,KAILAHUN,SLE-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,40,20,60,40,20,60,0,Pass,high,0,0,0,0,0,0,0,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,EASTERN,KAILAHUN,SLE-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,EASTERN,KAILAHUN,SLE-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,32,28,60,26,23,49,11,Fail,poor,0,0,3,0,0,8,0,96.67,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,0,0,72.73,0,0.18
SIL,EASTERN,KAILAHUN,Sierra Leone,nOPV2,Rnd1,21,2021-05-30T00:00:00Z,2021-06-03,2021-06-05,37,23,60,37,23,60,0,Pass,high,0,0,0,0,0,0,0,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,EASTERN,KAILAHUN,Sierra Leone,nOPV2,Rnd2,21,2021-07-03T00:00:00Z,2021-07-07,2021-07-09,27,33,60,27,31,58,2,Pass,high,0,0,1,0,0,1,0,83.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0.03
SIL,EASTERN,KENEMA,SLE-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,24,36,60,24,36,60,0,Pass,high,0,0,0,0,0,0,0,76.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,EASTERN,KENEMA,SLE-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,30,30,60,29,29,58,2,Pass,high,0,0,1,0,1,0,0,91.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0.03
SIL,EASTERN,KENEMA,SLE-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,EASTERN,KENEMA,Sierra Leone,nOPV2,Rnd2,21,2021-07-03T00:00:00Z,2021-07-07,2021-07-09,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,EASTERN,KONO,SLE-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,EASTERN,KONO,SLE-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,26,34,60,17,24,41,19,Fail,poor,0,10,2,0,0,3,4,68.33,0,0,1,1,0,0,0,0,0,0,0,0,0,0,52.63,10.53,0,0,15.79,21.05,0.32
SIL,EASTERN,KONO,SLE-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,37,23,60,37,22,59,1,Pass,high,0,0,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0.02
SIL,EASTERN,KONO,Sierra Leone,nOPV2,Rnd1,21,2021-05-29T00:00:00Z,2021-06-02,2021-06-05,30,30,60,26,28,54,6,Fail,moderate,0,0,4,0,0,2,0,88.33,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,33.33,0,0.1
SIL,EASTERN,KONO,Sierra Leone,nOPV2,Rnd2,21,2021-07-03T00:00:00Z,2021-07-07,2021-07-09,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,NORTH WESTERN,KAMBIA,SLE-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,78.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,NORTH WESTERN,KAMBIA,SLE-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,29,31,60,28,31,59,1,Pass,high,0,0,1,0,0,0,0,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
SIL,NORTH WESTERN,KAMBIA,SLE-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,NORTH WESTERN,KAMBIA,Sierra Leone,nOPV2,Rnd1,21,2021-05-29T00:00:00Z,2021-06-02,2021-06-04,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,NORTH WESTERN,KAMBIA,Sierra Leone,nOPV2,Rnd2,21,2021-07-03T00:00:00Z,2021-07-07,2021-07-09,31,29,60,29,26,55,5,Fail,moderate,2,0,1,0,0,2,0,100,0,0,1,0,0,0,2,0,0,0,0,0,0,40,0,20,0,0,40,0,0.08
SIL,NORTH WESTERN,KARENE,SLE-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,NORTH WESTERN,KARENE,SLE-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,32,28,60,27,25,52,8,Fail,moderate,0,3,1,0,1,2,1,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37.5,12.5,0,12.5,25,12.5,0.13
SIL,NORTH WESTERN,KARENE,SLE-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,31,29,60,30,29,59,1,Pass,high,0,0,1,0,0,0,0,66.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
SIL,NORTH WESTERN,KARENE,Sierra Leone,nOPV2,Rnd1,21,2021-05-30T00:00:00Z,2021-06-03,2021-06-05,38,22,60,38,22,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,NORTH WESTERN,KARENE,Sierra Leone,nOPV2,Rnd2,21,2021-07-03T00:00:00Z,2021-07-07,2021-07-10,30,30,60,18,19,37,23,Fail,very poor,8,0,12,0,0,3,0,80,0,9,3,0,0,0,4,3,1,0,0,0,0,34.78,0,52.17,0,0,13.04,0,0.38
SIL,NORTH WESTERN,PORT LOKO,SLE-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,35,25,60,29,21,50,10,Fail,poor,0,0,0,0,0,10,0,63.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.17
SIL,NORTH WESTERN,PORT LOKO,SLE-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,32,28,60,32,27,59,1,Pass,high,0,0,1,0,0,0,0,98.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
SIL,NORTH WESTERN,PORT LOKO,SLE-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,NORTH WESTERN,PORT LOKO,Sierra Leone,nOPV2,Rnd2,21,2021-07-04T00:00:00Z,2021-07-08,2021-07-10,38,22,60,27,16,43,17,Fail,poor,11,0,2,0,1,3,0,73.33,0,2,0,0,0,0,5,0,5,1,0,0,0,64.71,0,11.76,0,5.88,17.65,0,0.28
