country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_school,abs_reason_travelled,abs_reason_other,abs_reason_market,abs_reason_in_playground,abs_reason_farm,nc_reason_child_sick,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,nc_reason_vaccines_safety,nc_reason_covid_19,nc_reason_religious_cultural,nc_reason_too_many_rnd,nc_reason_others,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
SEN,RM DAKAR,DAKAR CENTRE,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,29,31,60,20,18,38,22,Fail,very poor,5,4,1,1,1,2,8,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0,22.73,18.18,4.55,4.55,4.55,9.09,36.36,0.37
SEN,RM DAKAR,DAKAR CENTRE,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,29,31,60,16,22,38,22,Fail,very poor,0,0,2,0,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,90.91,0,0.37
SEN,RM DAKAR,DAKAR NORD,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,31,29,60,20,23,43,17,Fail,poor,1,9,7,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,5.88,52.94,41.18,0,0,0,0,0.28
SEN,RM DAKAR,DAKAR NORD,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,35,25,60,31,23,54,6,Fail,moderate,0,3,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.1
SEN,RM DAKAR,DAKAR OUEST,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,33,27,60,19,15,34,26,Fail,very poor,2,11,4,0,0,9,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,7.69,42.31,15.38,0,0,34.62,0,0.43
SEN,RM DAKAR,DAKAR OUEST,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,35,25,60,27,20,47,13,Fail,poor,2,0,4,0,0,7,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,15.38,0,30.77,0,0,53.85,0,0.22
SEN,RM DAKAR,DAKAR SUD,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,30,30,60,28,20,48,12,Fail,poor,1,5,1,0,0,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8.33,41.67,8.33,0,0,16.67,25,0.2
SEN,RM DAKAR,DAKAR SUD,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,24,36,60,21,33,54,6,Fail,moderate,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.1
SEN,RM DAKAR,DIAMNIADIO,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,36,24,60,31,15,46,14,Fail,poor,0,6,3,1,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,42.86,21.43,7.14,0,28.57,0,0.23
SEN,RM DAKAR,DIAMNIADIO,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,33,27,60,30,27,57,3,Pass,high,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,33.33,0.05
