country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_in_playground,abs_reason_travelled,abs_reason_farm,abs_reason_market,abs_reason_other,abs_reason_school,nc_reason_vaccines_safety,nc_reason_no_care_giver_consent,nc_reason_religious_cultural,nc_reason_child_sick,nc_reason_others,nc_reason_no_felt_need,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
MAU,ADRAR,AOUJEFT,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,31,29,60,26,20,46,14,Fail,poor,0,1,1,0,0,12,0,83.33,1,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,85.71,0,0.23
MAU,ADRAR,AOUJEFT,MAU-2024-01-01_nOPV,nOPV2,Rnd2,21,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,35,25,60,33,24,57,3,Pass,high,0,2,1,0,0,0,0,95,0,1,0,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0,0,0,0,0.05
MAU,ADRAR,AOUJEFT,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,21,2021-12-13T00:00:00Z,2021-12-17,2021-12-20,29,31,60,2,1,3,57,Fail,very poor,1,7,9,0,0,40,0,10,4,0,4,1,0,0,1,0,0,0,0,0,1.75,12.28,15.79,0,0,70.18,0,0.95
MAU,ADRAR,AOUJEFT,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,21,2022-03-31T00:00:00Z,2022-04-04,2022-04-05,22,38,60,22,38,60,0,Pass,high,0,0,0,0,0,0,0,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAU,ADRAR,ATAR,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,30,30,60,24,24,48,12,Fail,poor,0,8,2,2,0,0,0,90,0,2,0,0,0,0,0,0,0,0,0,0,0,66.67,16.67,16.67,0,0,0,0.2
MAU,ADRAR,ATAR,MAU-2024-01-01_nOPV,nOPV2,Rnd2,21,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,23,37,60,22,27,49,11,Fail,poor,0,11,0,0,0,0,0,78.33,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.18
MAU,ADRAR,ATAR,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,21,2021-12-13T00:00:00Z,2021-12-17,2021-12-19,31,29,60,9,12,21,39,Fail,very poor,0,3,1,0,0,35,0,60,0,0,0,0,1,0,0,0,0,0,0,0,0,7.69,2.56,0,0,89.74,0,0.65
MAU,ADRAR,ATAR,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,21,2022-04-01T00:00:00Z,2022-04-05,2022-04-06,27,33,60,26,33,59,1,Pass,high,0,0,1,0,0,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
MAU,ADRAR,CHINGUITTI,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,31,29,60,31,26,57,3,Pass,high,0,2,0,0,0,1,0,96.67,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,33.33,0,0.05
MAU,ADRAR,CHINGUITTI,MAU-2024-01-01_nOPV,nOPV2,Rnd2,21,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,25,35,60,20,27,47,13,Fail,poor,1,12,0,0,0,0,0,35,0,0,0,0,0,0,0,1,0,0,0,0,7.69,92.31,0,0,0,0,0,0.22
