country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_travelled,abs_reason_market,abs_reason_school,abs_reason_other,abs_reason_farm,abs_reason_in_playground,nc_reason_no_felt_need,nc_reason_nopvconcern,nc_reason_vaccines_safety,nc_reason_religious_cultural,nc_reason_others,nc_reason_too_many_rnd,nc_reason_child_sick,nc_reason_no_care_giver_consent,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
UGA,ARUA,ADJUMANI DISTRICT,UGAnOPV,nOPV2,Rnd1,21,2022-01-19T00:00:00Z,2022-01-23,2022-01-24,33,27,60,32,26,58,2,Pass,high,0,0,1,0,0,1,0,98.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0.03
UGA,ARUA,ADJUMANI DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-08T00:00:00Z,2022-11-12,2022-11-13,29,31,60,23,23,46,14,Fail,poor,0,7,0,0,0,0,7,96.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0.23
UGA,ARUA,ARUA CITY,UGAnOPV,nOPV2,Rnd2,21,2022-11-08T00:00:00Z,2022-11-12,2022-11-14,31,29,60,29,23,52,8,Fail,moderate,0,0,0,0,0,0,8,96.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.13
UGA,ARUA,ARUA DISTRICT,UGAnOPV,nOPV2,Rnd1,17,2022-01-18T00:00:00Z,2022-01-22,2022-01-26,30,30,60,22,21,43,17,Fail,poor,0,11,4,0,0,2,0,75,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,64.71,23.53,0,0,11.76,0,0.28
UGA,ARUA,ARUA DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-09T00:00:00Z,2022-11-13,2022-11-15,28,32,60,27,32,59,1,Pass,high,0,0,1,0,0,0,0,93.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
UGA,ARUA,KOBOKO DISTRICT,UGAnOPV,nOPV2,Rnd1,21,2022-01-19T00:00:00Z,2022-01-23,2022-01-27,35,25,60,30,20,50,10,Fail,poor,0,0,1,0,0,0,9,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,90,0.17
UGA,ARUA,KOBOKO DISTRICT,UGAnOPV,nOPV2,Rnd2,19,2022-11-07T00:00:00Z,2022-11-11,2022-11-14,27,33,60,27,31,58,2,Pass,high,0,0,1,0,0,1,0,88.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0.03
UGA,ARUA,MADI-OKOLLO DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-07T00:00:00Z,2022-11-11,2022-11-13,25,35,60,24,35,59,1,Pass,high,0,0,1,0,0,0,0,98.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
UGA,ARUA,MARACHA DISTRICT,UGAnOPV,nOPV2,Rnd1,21,2022-01-20T00:00:00Z,2022-01-24,2022-01-27,31,29,60,29,26,55,5,Fail,moderate,0,2,1,0,0,1,1,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,20,0,0,20,20,0.08
UGA,ARUA,MARACHA DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-08T00:00:00Z,2022-11-12,2022-11-14,30,30,60,23,27,50,10,Fail,poor,0,0,0,0,0,2,8,93.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80,0.17
UGA,ARUA,MOYO DISTRICT,UGAnOPV,nOPV2,Rnd1,21,2022-01-19T00:00:00Z,2022-01-23,2022-01-28,29,31,60,27,31,58,2,Pass,high,1,0,1,0,0,0,0,96.67,0,0,0,0,1,0,1,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0.03
UGA,ARUA,MOYO DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-06T00:00:00Z,2022-11-10,2022-11-11,34,26,60,29,18,47,13,Fail,poor,0,0,1,0,0,12,0,96.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,92.31,0,0.22
UGA,ARUA,NEBBI,UGAnOPV,nOPV2,Rnd2,21,2022-11-07T00:00:00Z,2022-11-11,2022-11-13,26,34,60,25,33,58,2,Pass,high,0,1,0,0,0,1,0,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0.03
UGA,ARUA,OBONGI,UGAnOPV,nOPV2,Rnd2,24,2022-11-10T00:00:00Z,2022-11-14,2022-11-15,30,30,60,28,26,54,6,Fail,moderate,0,1,1,0,0,1,3,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,16.67,50,0.1
UGA,ARUA,PAKWACH,UGAnOPV,nOPV2,Rnd2,21,2022-11-08T00:00:00Z,2022-11-12,2022-11-13,32,28,60,30,26,56,4,Fail,moderate,0,0,1,0,0,0,3,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,75,0.07
