country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_in_playground,abs_reason_market,abs_reason_other,abs_reason_school,abs_reason_travelled,abs_reason_farm,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,nc_reason_too_many_rnd,nc_reason_vaccines_safety,nc_reason_others,nc_reason_covid_19,nc_reason_religious_cultural,nc_reason_child_sick,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
ETH,ADDIS ABABA,ADDIS ABABA,ADDIS ABABA,nOPV2,Rnd1,483,2021-10-19T00:00:00Z,2021-10-23,2022-05-18,677,733,1410,635,701,1336,74,Fail,very poor,0,12,32,2,1,18,9,0,1,3,6,11,11,0,0,0,0,0,0,0,0,0,0,16.22,43.24,2.7,1.35,24.32,12.16,0.05
ETH,ADDIS ABABA,ADDIS ABABA,Addis Ababa,,Rnd1,574,2024-10-10T00:00:00Z,2024-10-14,2024-12-21,833,807,1640,791,758,1549,91,Fail,very poor,4,18,21,4,3,19,22,0,0,3,4,5,9,0,1,1,2,0,0,0,0,0,4.4,19.78,23.08,4.4,3.3,20.88,24.18,0.06
ETH,ADDIS ABABA,ADDIS ABABA,Addis Ababa,,Rnd2,514,2024-12-15T00:00:00Z,2024-12-19,2024-12-22,731,749,1480,713,729,1442,38,Fail,very poor,1,6,15,1,1,4,10,0,0,2,2,4,7,0,0,0,0,1,0,0,0,0,2.63,15.79,39.47,2.63,2.63,10.53,26.32,0.03
ETH,ADDIS ABABA,ADDIS KETEMA,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,42,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,56,64,120,56,64,120,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,ADDIS ABABA,AKAKI KALITY,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,63,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,83,97,180,82,95,177,3,Pass,high,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,33.33,0,0.02
ETH,ADDIS ABABA,ARADA,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,42,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,75,55,130,74,55,129,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.01
ETH,ADDIS ABABA,BOLE,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,65,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,90,90,180,90,90,180,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,ADDIS ABABA,GULLELE,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,63,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,90,90,180,90,90,180,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,ADDIS ABABA,KIRKOS,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,33,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,62,58,120,57,56,113,7,Fail,moderate,0,1,3,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,14.29,42.86,0,0,28.57,14.29,0.06
ETH,ADDIS ABABA,KOLFE_KERANYO,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,63,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,102,78,180,100,76,176,4,Fail,moderate,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,25,25,0.02
ETH,ADDIS ABABA,LIDETA,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,42,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,56,64,120,54,63,117,3,Pass,high,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,33.33,0,0,0.03
ETH,ADDIS ABABA,LK,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,63,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,96,84,180,89,77,166,14,Fail,poor,0,1,4,1,1,3,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,7.14,28.57,7.14,7.14,21.43,28.57,0.08
ETH,ADDIS ABABA,NSL,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,66,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,103,127,230,95,121,216,14,Fail,poor,0,1,0,3,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,21.43,0,21.43,50,0.06
ETH,ADDIS ABABA,YEKA,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,67,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,94,96,190,93,95,188,2,Pass,high,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.01
ETH,AFAR,AFAR 3,ADDIS ABABA,nOPV2,Rnd1,66,2022-05-22T00:00:00Z,2022-05-26,2024-12-16,114,96,210,70,77,147,63,Fail,very poor,1,20,3,7,0,4,28,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1.59,31.75,4.76,11.11,0,6.35,44.44,0.3
ETH,AFAR,ZONE1,Addis Ababa,,Rnd0,63,2025-10-13T00:00:00Z,2025-10-17,2025-10-21,94,86,180,77,65,142,38,Fail,very poor,0,29,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.32,0,0,0,21.05,2.63,0.21
