country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_market,abs_reason_other,abs_reason_travelled,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
GNB,BAFATA,LOTE 1,GNBnOPV,nOPV2,Rnd1,21,2022-04-27T00:00:00Z,2022-05-01,2022-05-02,31,29,60,29,27,56,4,Fail,moderate,0,0,2,1,0,1,0,0,1,1,0,0,0,0,50,25,0,25,0,0.07
GNB,BAFATA,LOTE 1,GNBnOPV,nOPV2,Rnd2,12,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,BAFATA,LOTE 2,GNBnOPV,nOPV2,Rnd1,21,2022-04-27T00:00:00Z,2022-05-01,2022-05-02,20,40,60,19,39,58,2,Pass,high,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
GNB,BAFATA,LOTE 2,GNBnOPV,nOPV2,Rnd2,16,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,25,35,60,25,35,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,BAFATA,LOTE 3,GNBnOPV,nOPV2,Rnd1,21,2022-04-27T00:00:00Z,2022-05-01,2022-05-02,25,35,60,22,33,55,5,Fail,moderate,0,1,4,0,0,0,0,0,1,0,3,0,0,20,80,0,0,0,0,0.08
GNB,BAFATA,LOTE 3,GNBnOPV,nOPV2,Rnd2,21,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,BIJAGOS,LOTE 4,GNBnOPV,nOPV2,Rnd1,22,2022-04-27T00:00:00Z,2022-05-01,2022-05-04,37,23,60,37,23,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,BIJAGOS,LOTE 4,GNBnOPV,nOPV2,Rnd2,21,2022-06-16T00:00:00Z,2022-06-20,2022-06-27,30,30,60,29,30,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,0,1,0,0,100,0,0,0,0,0.02
GNB,BIJAGOS,LOTE 5,GNBnOPV,nOPV2,Rnd1,6,2022-04-27T00:00:00Z,2022-05-01,2022-05-02,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,BIJAGOS,LOTE 5,GNBnOPV,nOPV2,Rnd2,10,2022-06-23T00:00:00Z,2022-06-27,2022-06-27,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,BIOMBO,LOTE 6,GNBnOPV,nOPV2,Rnd1,23,2022-04-27T00:00:00Z,2022-05-01,2022-05-02,24,36,60,23,33,56,4,Fail,moderate,0,0,4,0,0,0,0,0,0,1,1,2,0,0,100,0,0,0,0,0.07
GNB,BIOMBO,LOTE 6,GNBnOPV,nOPV2,Rnd2,20,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,50,10,60,50,10,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,BOLAMA,LOTE 7,GNBnOPV,nOPV2,Rnd1,21,2022-04-27T00:00:00Z,2022-05-01,2022-05-02,27,33,60,25,26,51,9,Fail,poor,0,0,2,0,2,5,0,0,0,0,0,2,0,0,22.22,0,22.22,55.56,0,0.15
GNB,BOLAMA,LOTE 7,GNBnOPV,nOPV2,Rnd2,21,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,CACHEU,LOTE 10,GNBnOPV,nOPV2,Rnd1,21,2022-04-27T00:00:00Z,2022-05-01,2022-05-03,32,28,60,31,21,52,8,Fail,moderate,0,0,1,0,2,5,0,0,0,0,1,0,0,0,12.5,0,25,62.5,0,0.13
GNB,CACHEU,LOTE 10,GNBnOPV,nOPV2,Rnd2,19,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,CACHEU,LOTE 8,GNBnOPV,nOPV2,Rnd1,21,2022-04-27T00:00:00Z,2022-05-01,2022-05-02,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,CACHEU,LOTE 8,GNBnOPV,nOPV2,Rnd2,23,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,25,35,60,25,35,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,CACHEU,LOTE 9,GNBnOPV,nOPV2,Rnd1,21,2022-04-27T00:00:00Z,2022-05-01,2022-05-02,30,30,60,27,29,56,4,Fail,moderate,0,0,3,0,0,0,1,0,2,0,0,1,0,0,75,0,0,0,25,0.07
GNB,CACHEU,LOTE 9,GNBnOPV,nOPV2,Rnd2,21,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,FARIM,LOTE 11,GNBnOPV,nOPV2,Rnd1,21,2022-04-27T00:00:00Z,2022-05-01,2022-05-02,31,29,60,30,28,58,2,Pass,high,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,50,50,0.03
GNB,FARIM,LOTE 11,GNBnOPV,nOPV2,Rnd2,21,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,30,30,60,28,30,58,2,Pass,high,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,50,0,50,0,0.03
GNB,GABU,LOTE 12,GNBnOPV,nOPV2,Rnd1,21,2022-04-27T00:00:00Z,2022-05-01,2022-05-03,27,33,60,26,29,55,5,Fail,moderate,0,1,3,0,0,1,0,0,2,0,0,1,0,20,60,0,0,20,0,0.08
GNB,GABU,LOTE 12,GNBnOPV,nOPV2,Rnd2,19,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,29,31,60,28,30,58,2,Pass,high,0,0,1,0,1,0,0,0,1,0,0,0,0,0,50,0,50,0,0,0.03
GNB,GABU,LOTE 13,GNBnOPV,nOPV2,Rnd1,21,2022-04-27T00:00:00Z,2022-05-01,2022-05-03,25,35,60,16,19,35,25,Fail,very poor,0,11,5,0,0,2,7,0,3,1,0,1,0,44,20,0,0,8,28,0.42
GNB,GABU,LOTE 13,GNBnOPV,nOPV2,Rnd2,21,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,24,36,60,24,36,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,GABU,LOTE 14,GNBnOPV,nOPV2,Rnd2,21,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
