country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_travelled,abs_reason_other,abs_reason_school,abs_reason_in_playground,abs_reason_market,nc_reason_too_many_rnd,nc_reason_covid_19,nc_reason_religious_cultural,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,nc_reason_others,nc_reason_vaccines_safety,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
MLW,CENTRAL EAST,DOWA,MLW-2023-04-1_bOPV,bOPV,Rnd2,21,2023-07-13T00:00:00Z,2023-07-17,2023-07-18,22,38,60,20,38,58,2,Pass,high,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
MLW,CENTRAL EAST,DOWA,MLW-2023-04-1_bOPV,bOPV,Rnd3,21,2023-09-13T00:00:00Z,2023-09-17,2023-09-18,29,31,60,23,29,52,8,Fail,moderate,2,0,6,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,25,0,75,0,0,0,0,0.13
MLW,CENTRAL EAST,DOWA,WPV1Response,bOPV,Rnd1,21,2022-03-26T00:00:00Z,2022-03-30,2022-03-31,26,34,60,22,27,49,11,Fail,poor,0,0,1,0,0,4,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,36.36,54.55,0.18
MLW,CENTRAL EAST,DOWA,WPV1Response,bOPV,Rnd2,19,2022-01-01T00:00:00Z,2022-01-05,2022-04-30,29,31,60,29,29,58,2,Pass,high,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
MLW,CENTRAL EAST,DOWA,WPV1Response,bOPV,Rnd3,21,2022-08-13T00:00:00Z,2022-08-17,2022-08-18,31,29,60,31,28,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
MLW,CENTRAL EAST,DOWA,WPV1Response,bOPV,Rnd4,21,2022-10-16T00:00:00Z,2022-10-20,2022-10-21,33,27,60,33,26,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
MLW,CENTRAL EAST,KASUNGU,MLW-2023-04-1_bOPV,bOPV,Rnd2,21,2023-07-13T00:00:00Z,2023-07-17,2023-07-18,26,34,60,25,33,58,2,Pass,high,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
MLW,CENTRAL EAST,KASUNGU,MLW-2023-04-1_bOPV,bOPV,Rnd3,21,2023-09-13T00:00:00Z,2023-09-17,2023-09-18,25,35,60,25,35,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLW,CENTRAL EAST,KASUNGU,WPV1Response,bOPV,Rnd1,21,2022-03-25T00:00:00Z,2022-03-29,2022-03-30,28,32,60,24,28,52,8,Fail,moderate,0,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,25,62.5,0.13
MLW,CENTRAL EAST,KASUNGU,WPV1Response,bOPV,Rnd2,21,2022-01-01T00:00:00Z,2022-01-05,2022-04-30,22,38,60,17,32,49,11,Fail,poor,0,6,5,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,54.55,45.45,0,0,0,0,0.18
