country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_school,abs_reason_travelled,abs_reason_farm,abs_reason_in_playground,abs_reason_market,abs_reason_other,nc_reason_vaccines_safety,nc_reason_too_many_rnd,nc_reason_religious_cultural,nc_reason_covid_19,nc_reason_others,nc_reason_no_felt_need,nc_reason_child_sick,nc_reason_nopvconcern,nc_reason_no_care_giver_consent,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
TNZ,ARUSHA,ARUSHA CC,MLW_WPV1,bOPV,Rnd2,21,2022-05-21T00:00:00Z,2022-05-25,2022-05-27,38,22,60,37,21,58,2,Pass,high,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.03
TNZ,ARUSHA,ARUSHA CC,MLW_WPV1,bOPV,Rnd3,21,2022-09-04T00:00:00Z,2022-09-08,2022-09-10,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,ARUSHA,ARUSHA CC,MLW_WPV1,bOPV,Rnd4,21,2022-12-04T00:00:00Z,2022-12-08,2022-12-10,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,ARUSHA,ARUSHA DC,MLW_WPV1,bOPV,Rnd2,21,2022-05-21T00:00:00Z,2022-05-25,2022-05-27,28,32,60,25,31,56,4,Fail,moderate,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,75,0.07
TNZ,ARUSHA,ARUSHA DC,MLW_WPV1,bOPV,Rnd3,21,2022-09-04T00:00:00Z,2022-09-08,2022-09-10,23,37,60,23,36,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
TNZ,ARUSHA,ARUSHA DC,MLW_WPV1,bOPV,Rnd4,21,2022-12-04T00:00:00Z,2022-12-08,2022-12-10,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,ARUSHA,KARATU DC,MLW_WPV1,bOPV,Rnd2,21,2022-05-21T00:00:00Z,2022-05-25,2022-05-27,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,ARUSHA,KARATU DC,MLW_WPV1,bOPV,Rnd3,21,2022-09-04T00:00:00Z,2022-09-08,2022-09-10,25,35,60,25,34,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
TNZ,ARUSHA,KARATU DC,MLW_WPV1,bOPV,Rnd4,21,2022-12-04T00:00:00Z,2022-12-08,2022-12-10,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,ARUSHA,LONGIDO DC,MLW_WPV1,bOPV,Rnd2,19,2022-05-21T00:00:00Z,2022-05-25,2022-05-27,28,32,60,27,31,58,2,Pass,high,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
TNZ,ARUSHA,LONGIDO DC,MLW_WPV1,bOPV,Rnd3,21,2022-09-04T00:00:00Z,2022-09-08,2022-09-10,26,34,60,25,34,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
TNZ,ARUSHA,LONGIDO DC,MLW_WPV1,bOPV,Rnd4,21,2022-12-04T00:00:00Z,2022-12-08,2022-12-10,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,ARUSHA,MERU DC,MLW_WPV1,bOPV,Rnd2,21,2022-05-21T00:00:00Z,2022-05-25,2022-05-27,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,ARUSHA,MERU DC,MLW_WPV1,bOPV,Rnd3,21,2022-09-04T00:00:00Z,2022-09-08,2022-09-10,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,ARUSHA,MERU DC,MLW_WPV1,bOPV,Rnd4,21,2022-12-04T00:00:00Z,2022-12-08,2022-12-10,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,ARUSHA,MONDULI DC,MLW_WPV1,bOPV,Rnd2,21,2022-05-21T00:00:00Z,2022-05-25,2022-05-27,30,30,60,27,28,55,5,Fail,moderate,0,1,3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,60,0,0,0,20,0.08
TNZ,ARUSHA,MONDULI DC,MLW_WPV1,bOPV,Rnd3,21,2022-09-04T00:00:00Z,2022-09-08,2022-09-10,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,ARUSHA,MONDULI DC,MLW_WPV1,bOPV,Rnd4,21,2022-12-04T00:00:00Z,2022-12-08,2022-12-10,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,ARUSHA,NGORONGORO DC,MLW_WPV1,bOPV,Rnd2,21,2022-05-21T00:00:00Z,2022-05-25,2022-05-27,29,31,60,25,28,53,7,Fail,moderate,0,0,2,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,57.14,14.29,0.12
TNZ,ARUSHA,NGORONGORO DC,MLW_WPV1,bOPV,Rnd3,21,2022-09-04T00:00:00Z,2022-09-08,2022-09-09,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,ARUSHA,NGORONGORO DC,MLW_WPV1,bOPV,Rnd4,21,2022-12-04T00:00:00Z,2022-12-08,2022-12-11,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,DAR ES SALAAM,ILALA MC,MLW_WPV1,bOPV,Rnd2,21,2022-05-23T00:00:00Z,2022-05-27,2022-05-28,29,31,60,24,28,52,8,Fail,moderate,0,1,5,2,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12.5,62.5,25,0,0,0,0.13
TNZ,DAR ES SALAAM,ILALA MC,MLW_WPV1,bOPV,Rnd3,21,2022-09-04T00:00:00Z,2022-09-08,2022-09-10,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,DAR ES SALAAM,ILALA MC,MLW_WPV1,bOPV,Rnd4,21,2022-12-04T00:00:00Z,2022-12-08,2022-12-09,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,DAR ES SALAAM,KIGAMBONI MC,MLW_WPV1,bOPV,Rnd2,21,2022-05-22T00:00:00Z,2022-05-26,2022-05-27,28,32,60,25,30,55,5,Fail,moderate,0,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,20,0.08
TNZ,DAR ES SALAAM,KIGAMBONI MC,MLW_WPV1,bOPV,Rnd3,21,2022-09-04T00:00:00Z,2022-09-08,2022-09-10,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,DAR ES SALAAM,KIGAMBONI MC,MLW_WPV1,bOPV,Rnd4,21,2022-12-04T00:00:00Z,2022-12-08,2022-12-10,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,DAR ES SALAAM,KINONDONI MC,MLW_WPV1,bOPV,Rnd2,21,2022-05-21T00:00:00Z,2022-05-25,2022-05-27,26,34,60,23,30,53,7,Fail,moderate,1,2,2,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,14.29,28.57,28.57,0,0,28.57,0,0.12
TNZ,DAR ES SALAAM,KINONDONI MC,MLW_WPV1,bOPV,Rnd3,21,2022-09-04T00:00:00Z,2022-09-08,2022-09-09,43,17,60,43,17,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,DAR ES SALAAM,KINONDONI MC,MLW_WPV1,bOPV,Rnd4,21,2022-12-04T00:00:00Z,2022-12-08,2022-12-09,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,DAR ES SALAAM,TEMEKE MC,MLW_WPV1,bOPV,Rnd2,21,2022-05-22T00:00:00Z,2022-05-26,2022-05-27,35,25,60,33,25,58,2,Pass,high,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.03
TNZ,DAR ES SALAAM,TEMEKE MC,MLW_WPV1,bOPV,Rnd3,21,2022-09-04T00:00:00Z,2022-09-08,2022-09-10,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNZ,DAR ES SALAAM,TEMEKE MC,MLW_WPV1,bOPV,Rnd4,21,2022-12-04T00:00:00Z,2022-12-08,2022-12-10,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
