country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_travelled,abs_reason_farm,abs_reason_school,abs_reason_in_playground,abs_reason_market,abs_reason_other,nc_reason_religious_cultural,nc_reason_vaccines_safety,nc_reason_no_care_giver_consent,nc_reason_others,nc_reason_no_felt_need,nc_reason_too_many_rnd,nc_reason_child_sick,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
ZIM,BULAWAYO,EMAKHANDENI,WPV1MLW,bOPV,Rnd1,21,2022-10-29T00:00:00Z,2022-11-02,2022-11-03,34,26,60,28,24,52,8,Fail,moderate,0,1,0,0,0,0,7,91.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,87.5,0.13
ZIM,BULAWAYO,EMAKHANDENI,WPV1MLW,bOPV,Rnd2,21,2022-12-03T00:00:00Z,2022-12-07,2022-12-08,28,32,60,22,28,50,10,Fail,poor,0,0,0,0,0,10,0,91.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.17
ZIM,BULAWAYO,EMAKHANDENI,ZIM-2023-05-01_bOPV,bOPV,Rnd1,20,2023-05-23T00:00:00Z,2023-05-27,2023-05-28,32,28,60,32,27,59,1,Pass,high,0,0,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
ZIM,BULAWAYO,EMAKHANDENI,ZIM-2023-05-01_bOPV,bOPV,Rnd2,21,2023-10-10T00:00:00Z,2023-10-14,2023-10-15,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,96.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIM,BULAWAYO,EMAKHANDENI,ZIM-2023-12-01_nOPV,nOPV2,Rnd1,21,2024-02-20T00:00:00Z,2024-02-24,2024-02-25,25,35,60,24,35,59,1,Pass,high,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.02
ZIM,BULAWAYO,EMAKHANDENI,ZIM-2023-12-01_nOPV,nOPV2,Rnd2,21,2024-03-19T00:00:00Z,2024-03-23,2024-03-24,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIM,BULAWAYO,EMAKHANDENI,ZIM-2024-11-01_nOPV,nOPV2,Rnd1,21,2024-11-26T00:00:00Z,2024-11-30,2024-12-01,29,31,60,29,29,58,2,Pass,high,1,0,0,0,0,1,0,86.67,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0.03
ZIM,BULAWAYO,EMAKHANDENI,ZIM-2024-11-01_nOPV,nOPV2,Rnd2,21,2025-02-04T00:00:00Z,2025-02-08,2025-02-09,24,36,60,24,36,60,0,Pass,high,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIM,BULAWAYO,NKULUMANE,WPV1MLW,bOPV,Rnd2,21,2022-12-03T00:00:00Z,2022-12-07,2022-12-09,26,34,60,25,32,57,3,Pass,high,0,0,0,0,0,3,0,96.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.05
ZIM,BULAWAYO,NKULUMANE,ZIM-2023-05-01_bOPV,bOPV,Rnd1,21,2023-05-23T00:00:00Z,2023-05-27,2023-05-28,27,33,60,24,27,51,9,Fail,poor,0,2,0,0,1,6,0,71.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,11.11,66.67,0,0.15
ZIM,BULAWAYO,NKULUMANE,ZIM-2023-05-01_bOPV,bOPV,Rnd2,21,2023-10-10T00:00:00Z,2023-10-14,2023-10-15,33,27,60,32,23,55,5,Fail,moderate,0,1,3,0,0,0,1,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,60,0,0,0,20,0.08
ZIM,BULAWAYO,NKULUMANE,ZIM-2023-12-01_nOPV,nOPV2,Rnd1,21,2024-02-20T00:00:00Z,2024-02-24,2024-02-25,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIM,BULAWAYO,NKULUMANE,ZIM-2023-12-01_nOPV,nOPV2,Rnd2,20,2024-03-19T00:00:00Z,2024-03-23,2024-03-24,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIM,BULAWAYO,NKULUMANE,ZIM-2024-11-01_nOPV,nOPV2,Rnd1,21,2024-11-26T00:00:00Z,2024-11-30,2024-12-01,32,28,60,31,24,55,5,Fail,moderate,0,1,2,0,0,0,2,88.33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,0,0,0,40,0.08
ZIM,BULAWAYO,NKULUMANE,ZIM-2024-11-01_nOPV,nOPV2,Rnd2,21,2025-02-04T00:00:00Z,2025-02-08,2025-02-09,29,31,60,28,31,59,1,Pass,high,0,0,0,0,0,0,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.02
ZIM,BULAWAYO,NORTHERN SURBUBS,WPV1MLW,bOPV,Rnd2,21,2022-12-03T00:00:00Z,2022-12-07,2022-12-09,29,31,60,26,27,53,7,Fail,moderate,0,0,1,0,0,3,3,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,42.86,42.86,0.12
ZIM,BULAWAYO,NORTHERN SURBUBS,ZIM-2023-05-01_bOPV,bOPV,Rnd1,21,2023-05-23T00:00:00Z,2023-05-27,2023-05-28,34,26,60,29,24,53,7,Fail,moderate,0,7,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.12
ZIM,BULAWAYO,NORTHERN SURBUBS,ZIM-2023-05-01_bOPV,bOPV,Rnd2,21,2023-10-10T00:00:00Z,2023-10-14,2023-10-15,35,25,60,29,23,52,8,Fail,moderate,0,6,1,0,0,1,0,78.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75,12.5,0,0,12.5,0,0.13
ZIM,BULAWAYO,NORTHERN SURBUBS,ZIM-2023-12-01_nOPV,nOPV2,Rnd1,22,2024-02-20T00:00:00Z,2024-02-24,2024-02-25,30,30,60,30,28,58,2,Pass,high,0,1,0,0,0,0,1,88.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0.03
ZIM,BULAWAYO,NORTHERN SURBUBS,ZIM-2023-12-01_nOPV,nOPV2,Rnd2,21,2024-03-19T00:00:00Z,2024-03-23,2024-03-24,36,24,60,36,24,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIM,BULAWAYO,NORTHERN SURBUBS,ZIM-2024-11-01_nOPV,nOPV2,Rnd1,20,2024-11-26T00:00:00Z,2024-11-30,2024-12-01,32,28,60,28,27,55,5,Fail,moderate,0,1,1,0,0,0,3,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,60,0.08
ZIM,BULAWAYO,NORTHERN SURBUBS,ZIM-2024-11-01_nOPV,nOPV2,Rnd2,21,2025-02-04T00:00:00Z,2025-02-08,2025-02-09,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIM,CHITUNGWIZA,SEKE NORTH,WPV1MLW,bOPV,Rnd2,21,2022-12-03T00:00:00Z,2022-12-07,2022-12-08,36,24,60,36,24,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIM,CHITUNGWIZA,SEKE NORTH,ZIM-2023-05-01_bOPV,bOPV,Rnd1,21,2023-05-23T00:00:00Z,2023-05-27,2023-05-28,23,37,60,23,37,60,0,Pass,high,0,0,0,0,0,0,0,86.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
