country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_travelled,abs_reason_other,abs_reason_market,abs_reason_school,nc_reason_others,nc_reason_child_sick,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
ALG,ADRAR,ADRAR,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,ADRAR,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,AOULEF,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,25,35,60,25,35,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,AOULEF,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,19,41,60,19,41,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,BORDJ BADJI MOKHTAR,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,35,25,60,35,22,57,3,Pass,high,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,33.33,0,0,0,66.67,0.05
ALG,ADRAR,BORDJ BADJI MOKHTAR,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,EPSP ADRAR,ALG-2023-09-01_nOPV,nOPV2,Rnd1,21,2024-06-28T00:00:00Z,2024-07-02,2024-08-02,26,34,60,24,32,56,4,Fail,moderate,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.07
ALG,ADRAR,EPSP ADRAR,ALG-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-01-28T00:00:00Z,2024-02-01,2024-02-02,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,EPSP ADRAR,nOPV2022,nOPV2,Rnd1,21,2022-12-10T00:00:00Z,2022-12-14,2022-12-16,30,30,60,30,28,58,2,Pass,high,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,50,0,0,0,50,0.03
ALG,ADRAR,EPSP ADRAR,nOPV2022,nOPV2,Rnd2,26,2023-01-22T00:00:00Z,2023-01-26,2023-01-27,33,27,60,32,26,58,2,Pass,high,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.03
