country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_other,abs_reason_travelled,abs_reason_in_playground,abs_reason_school,nc_reason_others,nc_reason_nopvconcern,nc_reason_religious_cultural,nc_reason_vaccines_safety,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
BWA,BOBIRWA,BOBIRWA,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,40,20,60,29,16,45,15,Fail,poor,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,46.67,0.25
BWA,BOBIRWA,BOBIRWA,BOT-2023-02-01_nOPV,nOPV2,Rnd2,21,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,BOBIRWA DISTRICT COUNCIL,BOBIRWA DISTRICT COUNCIL,BOT-2026-02-1_nOPV_NID,nOPV2,Rnd1,15,2026-05-05T00:00:00Z,2026-05-09,2026-05-10,13,17,30,12,15,27,33,Fail,very poor,0,1,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,3.03,93.94,1.1
BWA,BOTETI,BOTETI,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,BOTETI,BOTETI,BOT-2023-02-01_nOPV,nOPV2,Rnd2,21,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,BOTETI DISTRICT COUNCIL,BOTETI DISTRICT COUNCIL,BOT-2026-02-1_nOPV_NID,nOPV2,Rnd1,7,2026-05-05T00:00:00Z,2026-05-09,2026-05-10,12,8,20,9,8,17,43,Fail,very poor,1,0,2,0,0,0,40,0,2,0,0,0,0,1,0,0,0,2.33,0,4.65,0,0,0,93.02,2.15
BWA,CHARLESHILL,CHARLESHILL,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,31,29,60,30,29,59,1,Pass,high,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.02
BWA,CHARLESHILL,CHARLESHILL,BOT-2023-02-01_nOPV,nOPV2,Rnd2,21,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,37,23,60,37,23,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,CHARLESHILL DISTRICT COUNCIL,CHARLESHILL DISTRICT COUNCIL,BOT-2026-02-1_nOPV_NID,nOPV2,Rnd1,5,2026-05-05T00:00:00Z,2026-05-09,2026-05-10,13,7,20,13,7,20,40,Fail,very poor,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2
BWA,CHOBE,CHOBE,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,30,30,60,29,29,58,2,Pass,high,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0.03
