country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_farm,abs_reason_travelled,abs_reason_other,abs_reason_school,abs_reason_in_playground,abs_reason_market,nc_reason_no_felt_need,nc_reason_no_care_giver_consent,nc_reason_religious_cultural,nc_reason_child_sick,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
BUI,BUBANZA,BUBANZA,BUU-2023-04-01_nOPV,nOPV2,Rnd1,21,2023-06-10T00:00:00Z,2023-06-14,2023-06-15,39,21,60,38,20,58,2,Pass,high,0,0,2,0,0,0,0,86.67,2,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
BUI,BUBANZA,BUBANZA,BUU-2023-04-01_nOPV,nOPV2,Rnd2,21,2023-08-17T00:00:00Z,2023-08-21,2023-08-22,29,31,60,28,31,59,1,Pass,high,0,0,1,0,0,0,0,95,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
BUI,BUBANZA,BUBANZA,BUU-2023-04-01_nOPV,nOPV2,Rnd3,21,2023-10-26T00:00:00Z,2023-10-30,2023-10-31,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUI,BUBANZA,MPANDA,BUU-2023-04-01_nOPV,nOPV2,Rnd1,21,2023-06-10T00:00:00Z,2023-06-14,2023-06-15,27,33,60,27,29,56,4,Fail,moderate,0,0,3,0,0,1,0,98.33,0,0,3,0,0,0,0,0,0,0,0,0,75,0,0,25,0,0.07
BUI,BUBANZA,MPANDA,BUU-2023-04-01_nOPV,nOPV2,Rnd2,21,2023-08-17T00:00:00Z,2023-08-21,2023-08-22,24,36,60,24,35,59,1,Pass,high,0,1,0,0,0,0,0,91.67,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
BUI,BUBANZA,MPANDA,BUU-2023-04-01_nOPV,nOPV2,Rnd3,21,2023-10-26T00:00:00Z,2023-10-30,2023-10-31,24,36,60,24,36,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUI,BUJUMBURA MAIRIE,ZONE CENTRE,BUU-2023-04-01_nOPV,nOPV2,Rnd1,21,2023-06-10T00:00:00Z,2023-06-14,2023-06-15,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUI,BUJUMBURA MAIRIE,ZONE CENTRE,BUU-2023-04-01_nOPV,nOPV2,Rnd2,21,2023-08-17T00:00:00Z,2023-08-21,2023-08-22,28,32,60,27,32,59,1,Pass,high,0,0,1,0,0,0,0,98.33,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
BUI,BUJUMBURA MAIRIE,ZONE CENTRE,BUU-2023-04-01_nOPV,nOPV2,Rnd3,21,2023-10-26T00:00:00Z,2023-10-30,2023-10-31,26,34,60,24,33,57,3,Pass,high,0,0,1,0,1,1,0,95,0,0,0,1,0,0,0,0,0,0,0,0,33.33,0,33.33,33.33,0,0.05
BUI,BUJUMBURA MAIRIE,ZONE NORD,BUU-2023-04-01_nOPV,nOPV2,Rnd1,21,2023-06-10T00:00:00Z,2023-06-14,2023-06-15,31,29,60,21,20,41,19,Fail,poor,0,14,3,0,0,2,0,91.67,0,1,0,0,1,1,0,0,0,0,0,73.68,15.79,0,0,10.53,0,0.32
BUI,BUJUMBURA MAIRIE,ZONE NORD,BUU-2023-04-01_nOPV,nOPV2,Rnd2,21,2023-08-17T00:00:00Z,2023-08-21,2023-08-22,32,28,60,28,24,52,8,Fail,moderate,0,0,0,0,0,7,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,12.5,0.13
BUI,BUJUMBURA MAIRIE,ZONE NORD,BUU-2023-04-01_nOPV,nOPV2,Rnd3,21,2023-10-26T00:00:00Z,2023-10-30,2023-10-31,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUI,BUJUMBURA MAIRIE,ZONE SUD,BUU-2023-04-01_nOPV,nOPV2,Rnd1,21,2023-06-10T00:00:00Z,2023-06-14,2023-06-15,30,30,60,25,18,43,17,Fail,poor,0,12,0,0,1,3,1,91.67,0,0,0,0,0,0,0,0,0,0,0,70.59,0,0,5.88,17.65,5.88,0.28
BUI,BUJUMBURA MAIRIE,ZONE SUD,BUU-2023-04-01_nOPV,nOPV2,Rnd2,21,2023-08-17T00:00:00Z,2023-08-21,2023-08-22,40,20,60,40,16,56,4,Fail,moderate,0,1,0,1,0,0,2,88.33,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,50,0.07
BUI,BUJUMBURA MAIRIE,ZONE SUD,BUU-2023-04-01_nOPV,nOPV2,Rnd3,21,2023-10-26T00:00:00Z,2023-10-30,2023-10-31,26,34,60,24,33,57,3,Pass,high,0,1,1,0,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,33.33,0.05
BUI,BUJUMBURA RURAL,ISALE,BUU-2023-04-01_nOPV,nOPV2,Rnd1,21,2023-06-10T00:00:00Z,2023-06-14,2023-06-15,31,29,60,25,26,51,9,Fail,poor,0,6,2,0,0,0,1,98.33,0,0,0,0,2,0,0,0,0,0,0,66.67,22.22,0,0,0,11.11,0.15
BUI,BUJUMBURA RURAL,ISALE,BUU-2023-04-01_nOPV,nOPV2,Rnd2,21,2023-08-17T00:00:00Z,2023-08-21,2023-08-22,33,27,60,31,26,57,3,Pass,high,0,3,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.05
BUI,BUJUMBURA RURAL,ISALE,BUU-2023-04-01_nOPV,nOPV2,Rnd3,21,2023-10-26T00:00:00Z,2023-10-30,2023-10-31,22,38,60,19,32,51,9,Fail,poor,0,0,5,0,0,0,4,95,0,0,2,0,1,2,0,0,0,0,0,0,55.56,0,0,0,44.44,0.15
