country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_travelled,abs_reason_market,abs_reason_other,nc_reason_religious_cultural,nc_reason_others,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
RWA,EAST,BUGESERA,RWA-2023-07-01_nOPV,nOPV2,Rnd1,21,2023-07-24T00:00:00Z,2023-07-28,2023-07-29,32,28,60,32,26,58,2,Pass,high,0,0,0,0,0,0,2,98.33,0,0,0,0,0,0,0,0,0,0,0,100,0.03
RWA,EAST,BUGESERA,RWA-2023-07-01_nOPV,nOPV2,Rnd2,21,2023-09-11T00:00:00Z,2023-09-15,2023-09-16,34,26,60,33,26,59,1,Pass,high,0,0,1,0,0,0,0,100,1,0,0,0,0,0,0,100,0,0,0,0,0.02
RWA,EAST,GATSIBO,RWA-2023-07-01_nOPV,nOPV2,Rnd1,44,2023-07-24T00:00:00Z,2023-07-28,2023-07-29,65,55,120,65,55,120,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
RWA,EAST,GATSIBO,RWA-2023-07-01_nOPV,nOPV2,Rnd2,42,2023-09-11T00:00:00Z,2023-09-15,2023-09-16,55,65,120,55,65,120,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
RWA,EAST,KAYONZA,RWA-2023-07-01_nOPV,nOPV2,Rnd1,31,2023-07-24T00:00:00Z,2023-07-28,2023-07-29,56,64,120,52,57,109,11,Fail,poor,0,1,0,0,0,2,8,97.5,0,0,0,0,0,0,9.09,0,0,0,18.18,72.73,0.09
RWA,EAST,KAYONZA,RWA-2023-07-01_nOPV,nOPV2,Rnd2,42,2023-09-11T00:00:00Z,2023-09-15,2023-09-16,63,57,120,59,56,115,5,Fail,moderate,0,0,0,0,0,2,3,98.33,0,0,0,0,0,0,0,0,0,0,40,60,0.04
RWA,EAST,KIREHE,RWA-2023-07-01_nOPV,nOPV2,Rnd1,21,2023-07-24T00:00:00Z,2023-07-28,2023-07-29,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
RWA,EAST,KIREHE,RWA-2023-07-01_nOPV,nOPV2,Rnd2,21,2023-09-11T00:00:00Z,2023-09-15,2023-09-16,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
RWA,EAST,NGOMA,RWA-2023-07-01_nOPV,nOPV2,Rnd1,18,2023-07-24T00:00:00Z,2023-07-28,2023-07-29,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
RWA,EAST,NGOMA,RWA-2023-07-01_nOPV,nOPV2,Rnd2,21,2023-09-11T00:00:00Z,2023-09-15,2023-09-16,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
