country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,year,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,missed_child,r_non_compliance,r_house_not_visited,r_childabsent,r_security,r_childnotborn,care_giver_informed_sia,percent_care_giver_informed_sia,total_missed,status,performance,tot_r,other_r,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_childnotborn,prct_r_security,prct_other_r
NIE,Adamawa,Demsa,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,36,24,60,39,20,59,1,0,0,0,0,0,59,98.33,1,Pass,high,0,1,0,0,0,0,0,100
NIE,Adamawa,Fufore,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,31,29,60,31,28,59,1,0,0,1,0,0,42,70,1,Pass,high,1,0,0,0,100,0,0,0
NIE,Adamawa,Ganye,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,26,34,60,26,32,58,2,0,1,0,0,0,55,91.67,2,Pass,high,1,1,0,50,0,0,0,50
NIE,Adamawa,Girei,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,30,30,60,26,34,60,0,0,0,0,0,0,59,98.33,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Adamawa,Gombi,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,31,29,60,24,36,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Adamawa,Guyuk,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,24,36,60,22,38,60,0,0,0,0,0,0,59,98.33,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Adamawa,Hong,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,26,34,60,21,37,58,2,0,1,1,0,0,59,98.33,2,Pass,high,2,0,0,50,50,0,0,0
NIE,Adamawa,Jada,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,35,25,60,33,25,58,2,0,1,1,0,0,57,95,2,Pass,high,2,0,0,50,50,0,0,0
NIE,Adamawa,Lamurde,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,24,36,60,22,38,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Adamawa,Madagali,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,29,31,60,30,24,54,6,0,2,4,0,0,53,88.33,6,Fail,moderate,6,0,0,33.33,66.67,0,0,0
NIE,Adamawa,Maiha,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,44,16,60,40,20,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Adamawa,Mayo-Belwa,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,5,2025-10-06,2025-10-10,2025-10-11,2025,24,26,50,20,30,50,0,0,0,0,0,0,50,100,10,Fail,poor,0,10,0,0,0,0,0,100
NIE,Adamawa,Michika,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,35,25,60,32,28,60,0,0,0,0,0,0,41,68.33,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Adamawa,Mubi North,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,26,34,60,26,34,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Adamawa,Mubi South,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,30,30,60,30,29,59,1,0,0,1,0,0,56,93.33,1,Pass,high,1,0,0,0,100,0,0,0
NIE,Adamawa,Numan,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,28,32,60,28,30,58,2,0,1,0,0,0,59,98.33,2,Pass,high,1,1,0,50,0,0,0,50
NIE,Adamawa,Shelleng,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,35,25,60,32,25,57,3,0,0,3,0,0,56,93.33,3,Pass,high,3,0,0,0,100,0,0,0
NIE,Adamawa,Song,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,30,30,60,26,34,60,0,0,0,0,0,0,55,91.67,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Adamawa,Toungo,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,31,29,60,30,30,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Adamawa,Yola North,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,29,31,60,25,33,58,2,0,0,2,0,0,57,95,2,Pass,high,2,0,0,0,100,0,0,0
NIE,Adamawa,Yola South,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,26,34,60,24,36,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Bauchi,Alkaleri,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,24,36,60,18,42,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Bauchi,Bauchi,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,32,28,60,36,24,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Bauchi,Bogoro,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,34,26,60,28,32,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Bauchi,Damban,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,32,28,60,35,24,59,1,0,0,1,0,0,60,100,1,Pass,high,1,0,0,0,100,0,0,0
NIE,Bauchi,Darazo,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,28,32,60,26,34,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Bauchi,Dass,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,32,28,60,32,27,59,1,0,0,0,0,0,59,98.33,1,Pass,high,0,1,0,0,0,0,0,100
NIE,Bauchi,Gamawa,NIE-2025-10-01_nOPV_sNID,nOPV2 & bOPV,Rnd1,6,2025-10-06,2025-10-10,2025-10-11,2025,30,30,60,30,28,58,2,0,0,0,0,0,60,100,2,Pass,high,0,2,0,0,0,0,0,100
